time,308_y
0.0,318
0.04,317
0.08,317
0.12,317
0.16,316
0.2,316
0.24,316
0.28,316
0.32,316
0.36,317
0.4,316
0.44,317
0.48,317
0.52,317
0.56,316
0.6,316
0.64,315
0.68,315
0.72,316
0.76,315
0.8,314
0.84,314
0.88,314
0.92,314
0.96,314
1.0,314
1.04,314
1.08,315
1.12,315
1.16,315
1.2,315
1.24,315
1.28,315
1.32,315
1.36,315
1.4,315
1.44,315
1.48,315
1.52,315
1.56,315
1.6,315
1.64,316
1.68,316
1.72,317
1.76,317
1.8,317
1.84,317
1.88,317
1.92,317
1.96,317
2.0,317
2.04,317
2.08,317
2.12,317
2.16,317
2.2,317
2.24,317
2.28,317
2.32,317
2.36,317
2.4,317
2.44,317
2.48,317
2.52,317
2.56,317
2.6,317
2.64,317
2.68,317
2.72,317
2.76,317
2.8,317
2.84,317
2.88,317
2.92,317
2.96,317
3.0,317
3.04,317
3.08,317
3.12,317
3.16,317
3.2,317
3.24,317
3.28,318
3.32,319
3.36,320
3.4,321
3.44,320
3.48,319
3.52,320
3.56,321
3.6,322
3.64,322
3.68,322
3.72,322
3.76,322
3.8,323
3.84,323
3.88,323
3.92,323
3.96,322
4.0,322
4.04,322
4.08,322
4.12,322
4.16,322
4.2,322
4.24,322
4.28,321
4.32,321
4.36,321
4.4,321
4.44,321
4.48,321
4.52,321
4.56,321
4.6,321
4.64,321
4.68,321
4.72,321
4.76,321
4.8,321
4.84,321
4.88,321
4.92,321
4.96,321
5.0,321
5.04,321
5.08,321
5.12,321
5.16,321
5.2,321
5.24,321
5.28,321
5.32,321
5.36,321
5.4,321
5.44,321
5.48,321
5.52,321
5.56,321
5.6,321
5.64,321
5.68,321
5.72,320
5.76,321
5.8,321
5.84,321
5.88,321
5.92,322
5.96,323
6.0,322
6.04,321
6.08,321
6.12,323
6.16,327
6.2,329
6.24,329
6.28,329
6.32,328
6.36,326
6.4,326
6.44,326
6.48,326
6.52,326
6.56,327
6.6,327
6.64,327
6.68,327
6.72,328
6.76,328
6.8,328
6.84,328
6.88,328
6.92,328
6.96,328
7.0,328
7.04,328
7.08,328
7.12,328
7.16,328
7.2,328
7.24,327
7.28,327
7.32,327
7.36,327
7.4,327
7.44,326
7.48,326
7.52,326
7.56,326
7.6,325
7.64,325
7.68,326
7.72,325
7.76,325
7.8,325
7.84,325
7.88,325
7.92,325
7.96,325
8.0,325
8.04,325
8.08,325
8.12,325
8.16,325
8.2,324
8.24,324
8.28,324
8.32,324
8.36,324
8.4,324
8.44,324
8.48,324
8.52,324
8.56,324
8.6,324
8.64,324
8.68,324
8.72,324
8.76,324
8.8,324
8.84,324
8.88,323
8.92,323
8.96,323
9.0,323
9.04,323
9.08,323
9.12,323
9.16,322
9.2,322
9.24,321
9.28,321
9.32,321
9.36,322
9.4,322
9.44,322
9.48,323
9.52,324
9.56,325
9.6,326
9.64,326
9.68,326
9.72,328
9.76,331
9.8,331
9.84,330
9.88,328
9.92,327
