time,267_x
0.0,646
0.04,647
0.08,647
0.12,647
0.16,647
0.2,647
0.24,647
0.28,647
0.32,647
0.36,647
0.4,648
0.44,647
0.48,648
0.52,648
0.56,648
0.6,648
0.64,648
0.68,648
0.72,647
0.76,647
0.8,647
0.84,647
0.88,646
0.92,646
0.96,646
1.0,646
1.04,646
1.08,646
1.12,646
1.16,646
1.2,647
1.24,646
1.28,647
1.32,647
1.36,647
1.4,647
1.44,648
1.48,647
1.52,648
1.56,647
1.6,648
1.64,647
1.68,647
1.72,647
1.76,647
1.8,647
1.84,647
1.88,647
1.92,646
1.96,646
2.0,646
2.04,646
2.08,646
2.12,646
2.16,646
2.2,646
2.24,646
2.28,646
2.32,646
2.36,647
2.4,647
2.44,647
2.48,647
2.52,647
2.56,647
2.6,647
2.64,647
2.68,646
2.72,647
2.76,647
2.8,647
2.84,647
2.88,647
2.92,647
2.96,647
3.0,647
3.04,647
3.08,647
3.12,647
3.16,647
3.2,646
3.24,646
3.28,646
3.32,646
3.36,646
3.4,646
3.44,646
3.48,647
3.52,647
3.56,646
3.6,646
3.64,646
3.68,645
3.72,646
3.76,645
3.8,644
3.84,645
3.88,645
3.92,645
3.96,645
4.0,644
4.04,645
4.08,645
4.12,645
4.16,645
4.2,645
4.24,646
4.28,647
4.32,647
4.36,647
4.4,647
4.44,647
4.48,647
4.52,647
4.56,647
4.6,647
4.64,647
4.68,647
4.72,647
4.76,647
4.8,647
4.84,647
4.88,647
4.92,647
4.96,646
5.0,646
5.04,646
5.08,646
5.12,645
5.16,645
5.2,645
5.24,645
5.28,645
5.32,645
5.36,645
5.4,645
5.44,645
5.48,645
5.52,645
5.56,645
5.6,645
5.64,645
5.68,645
5.72,645
5.76,645
5.8,645
5.84,645
5.88,644
5.92,644
5.96,644
6.0,644
6.04,644
6.08,644
6.12,645
6.16,644
6.2,645
6.24,644
6.28,644
6.32,642
6.36,642
6.4,642
6.44,642
6.48,641
6.52,641
6.56,640
6.6,640
6.64,640
6.68,640
6.72,640
6.76,641
6.8,641
6.84,641
6.88,641
6.92,641
6.96,641
7.0,641
7.04,641
7.08,642
7.12,643
7.16,643
7.2,643
7.24,644
7.28,644
7.32,644
7.36,645
7.4,645
7.44,645
7.48,645
7.52,646
7.56,646
7.6,646
7.64,646
7.68,646
7.72,646
7.76,646
7.8,646
7.84,645
7.88,645
7.92,645
7.96,645
8.0,645
8.04,644
8.08,643
8.12,643
8.16,643
8.2,643
8.24,643
8.28,643
8.32,642
8.36,643
8.4,643
8.44,643
8.48,643
8.52,643
8.56,643
8.6,643
8.64,643
8.68,643
8.72,643
8.76,643
8.8,643
8.84,643
8.88,643
8.92,643
8.96,643
9.0,643
9.04,644
9.08,644
9.12,644
9.16,644
9.2,644
9.24,645
9.28,645
9.32,645
9.36,645
9.4,644
9.44,644
9.48,644
9.52,644
9.56,644
9.6,643
9.64,643
9.68,644
9.72,645
9.76,644
9.8,645
9.84,644
9.88,644
9.92,643
9.96,642
10.0,642
10.04,642
10.08,641
10.12,641
10.16,641
10.2,641
10.24,641
10.28,641
10.32,641
10.36,641
10.4,642
10.44,642
10.48,642
10.52,642
10.56,641
10.6,641
10.64,641
10.68,641
10.72,641
10.76,641
10.8,642
10.84,642
10.88,642
10.92,642
10.96,642
11.0,643
11.04,643
11.08,643
11.12,643
11.16,643
11.2,644
11.24,644
11.28,644
11.32,644
11.36,644
11.4,644
11.44,645
11.48,646
11.52,646
11.56,645
11.6,646
11.64,646
11.68,645
11.72,645
11.76,645
11.8,645
11.84,645
11.88,644
11.92,644
11.96,643
12.0,643
12.04,643
12.08,643
12.12,642
12.16,642
12.2,642
12.24,642
12.28,642
12.32,642
12.36,642
12.4,642
12.44,642
12.48,642
12.52,642
12.56,642
12.6,643
12.64,643
12.68,644
12.72,645
12.76,645
12.8,646
12.84,646
12.88,646
12.92,646
12.96,644
13.0,643
13.04,641
13.08,640
13.12,639
13.16,638
13.2,639
13.24,637
13.28,638
13.32,636
13.36,635
13.4,635
13.44,635
13.48,634
13.52,634
13.56,635
13.6,636
13.64,636
13.68,636
13.72,637
13.76,636
13.8,636
13.84,636
13.88,636
13.92,635
13.96,635
14.0,638
14.04,640
14.08,640
14.12,642
14.16,644
14.2,646
14.24,647
14.28,650
14.32,652
14.36,651
14.4,652
14.44,653
14.48,653
14.52,654
14.56,653
14.6,652
14.64,651
14.68,650
14.72,647
14.76,648
14.8,649
14.84,648
14.88,646
14.92,646
14.96,645
15.0,644
15.04,643
15.08,644
15.12,644
15.16,644
15.2,644
15.24,644
15.28,645
15.32,644
15.36,643
15.4,643
15.44,642
15.48,643
15.52,643
15.56,643
15.6,643
15.64,642
15.68,642
15.72,643
15.76,643
15.8,643
15.84,644
15.88,644
15.92,644
15.96,644
16.0,644
16.04,644
16.08,643
16.12,643
16.16,643
16.2,642
16.24,642
16.28,641
16.32,642
16.36,642
16.4,642
16.44,642
16.48,642
16.52,641
16.56,642
16.6,642
16.64,642
16.68,642
16.72,642
16.76,643
16.8,642
16.84,642
16.88,642
16.92,642
16.96,642
17.0,641
17.04,641
17.08,641
17.12,641
17.16,641
17.2,641
17.24,641
17.28,640
17.32,640
17.36,640
17.4,640
17.44,640
17.48,640
17.52,641
17.56,641
17.6,641
17.64,641
17.68,641
17.72,641
17.76,641
17.8,643
17.84,645
17.88,646
17.92,646
17.96,647
18.0,647
18.04,647
18.08,646
18.12,646
18.16,646
18.2,645
18.24,646
18.28,646
18.32,646
18.36,646
18.4,646
18.44,646
18.48,645
18.52,644
18.56,644
18.6,644
18.64,643
18.68,643
18.72,642
18.76,642
18.8,640
18.84,639
18.88,639
18.92,638
18.96,638
19.0,638
19.04,638
19.08,636
19.12,635
19.16,635
19.2,635
19.24,636
19.28,636
19.32,636
19.36,635
19.4,635
19.44,635
19.48,634
19.52,633
19.56,631
19.6,630
19.64,629
19.68,630
19.72,631
19.76,632
19.8,633
19.84,633
19.88,632
19.92,632
19.96,631
20.0,631
20.04,631
20.08,632
20.12,633
20.16,635
20.2,634
20.24,634
20.28,635
20.32,635
20.36,636
20.4,638
20.44,637
20.48,638
20.52,639
20.56,639
20.6,639
20.64,638
20.68,639
20.72,638
20.76,637
20.8,636
20.84,637
20.88,637
20.92,638
20.96,638
21.0,638
21.04,638
21.08,639
21.12,639
21.16,639
21.2,638
21.24,639
21.28,639
21.32,639
21.36,639
21.4,639
21.44,639
21.48,639
21.52,639
21.56,640
21.6,640
21.64,641
21.68,640
21.72,640
21.76,640
21.8,640
21.84,640
21.88,640
21.92,639
21.96,639
22.0,639
22.04,639
22.08,639
22.12,638
22.16,638
22.2,638
22.24,638
22.28,638
22.32,639
22.36,639
22.4,638
22.44,638
22.48,638
22.52,638
22.56,640
22.6,642
22.64,645
22.68,648
22.72,650
22.76,651
22.8,650
22.84,648
22.88,646
22.92,645
22.96,643
23.0,641
23.04,639
23.08,638
23.12,638
23.16,638
23.2,640
23.24,639
23.28,638
23.32,638
23.36,638
23.4,635
23.44,636
23.48,635
23.52,636
23.56,638
23.6,640
23.64,642
23.68,643
23.72,644
23.76,643
23.8,643
23.84,642
23.88,641
23.92,640
23.96,638
24.0,637
24.04,637
24.08,636
24.12,636
24.16,637
24.2,637
24.24,638
24.28,637
24.32,636
24.36,636
24.4,637
24.44,637
24.48,639
24.52,641
24.56,643
24.6,645
24.64,645
24.68,645
24.72,645
24.76,641
24.8,642
24.84,641
24.88,640
