time,270_y
0.0,315
0.04,314
0.08,314
0.12,313
0.16,313
0.2,313
0.24,313
0.28,313
0.32,313
0.36,313
0.4,313
0.44,313
0.48,313
0.52,313
0.56,312
0.6,312
0.64,312
0.68,311
0.72,312
0.76,311
0.8,311
0.84,310
0.88,310
0.92,310
0.96,310
1.0,310
1.04,310
1.08,311
1.12,311
1.16,311
1.2,311
1.24,311
1.28,311
1.32,311
1.36,311
1.4,311
1.44,311
1.48,312
1.52,312
1.56,312
1.6,312
1.64,312
1.68,313
1.72,313
1.76,314
1.8,314
1.84,314
1.88,314
1.92,313
1.96,314
2.0,314
2.04,314
2.08,314
2.12,314
2.16,314
2.2,314
2.24,314
2.28,314
2.32,314
2.36,314
2.4,314
2.44,314
2.48,314
2.52,314
2.56,314
2.6,314
2.64,314
2.68,314
2.72,313
2.76,314
2.8,313
2.84,313
2.88,314
2.92,314
2.96,314
3.0,314
3.04,314
3.08,314
3.12,313
3.16,313
3.2,313
3.24,314
3.28,314
3.32,314
3.36,314
3.4,314
3.44,315
3.48,316
3.52,317
3.56,318
3.6,318
3.64,319
3.68,319
3.72,319
3.76,319
3.8,319
3.84,319
3.88,319
3.92,319
3.96,319
4.0,319
4.04,319
4.08,319
4.12,319
4.16,319
4.2,319
4.24,318
4.28,318
4.32,318
4.36,318
4.4,318
4.44,318
4.48,318
4.52,318
4.56,318
4.6,318
4.64,318
4.68,318
4.72,318
4.76,318
4.8,318
4.84,318
4.88,318
4.92,318
4.96,318
5.0,318
5.04,318
5.08,318
5.12,318
5.16,318
5.2,318
5.24,318
5.28,318
5.32,318
5.36,318
5.4,318
5.44,318
5.48,318
5.52,318
5.56,318
5.6,318
5.64,318
5.68,318
5.72,318
5.76,318
5.8,318
5.84,318
5.88,318
5.92,318
5.96,318
6.0,317
6.04,316
6.08,316
6.12,318
6.16,322
6.2,325
6.24,326
6.28,326
6.32,324
6.36,322
6.4,322
6.44,323
6.48,323
6.52,323
6.56,323
6.6,323
6.64,323
6.68,323
6.72,324
6.76,324
6.8,325
6.84,325
6.88,325
6.92,325
6.96,325
7.0,325
7.04,325
7.08,324
7.12,324
7.16,324
7.2,324
7.24,324
7.28,324
7.32,324
7.36,323
7.4,323
7.44,323
7.48,323
7.52,323
7.56,322
7.6,322
7.64,322
7.68,322
7.72,322
7.76,322
7.8,322
7.84,322
7.88,322
7.92,322
7.96,322
8.0,322
8.04,322
8.08,322
8.12,322
8.16,321
8.2,321
8.24,321
8.28,321
8.32,321
8.36,321
8.4,321
8.44,321
8.48,321
8.52,321
8.56,321
8.6,321
8.64,321
8.68,321
8.72,321
8.76,320
8.8,320
8.84,320
8.88,320
8.92,320
8.96,320
9.0,320
9.04,320
9.08,320
9.12,319
9.16,318
9.2,317
9.24,316
9.28,315
9.32,315
9.36,316
9.4,317
9.44,317
9.48,317
9.52,318
9.56,319
9.6,320
9.64,320
9.68,320
9.72,321
9.76,324
9.8,325
9.84,325
9.88,324
9.92,323
9.96,324
10.0,325
10.04,326
10.08,327
10.12,326
10.16,326
10.2,326
10.24,327
10.28,327
10.32,328
10.36,328
10.4,327
10.44,327
10.48,327
10.52,327
10.56,328
10.6,328
10.64,327
10.68,327
10.72,326
10.76,325
10.8,324
10.84,324
10.88,323
10.92,322
10.96,322
11.0,322
11.04,322
11.08,322
11.12,322
11.16,322
11.2,321
11.24,321
11.28,321
11.32,321
11.36,320
11.4,320
11.44,320
11.48,320
11.52,320
11.56,320
11.6,319
11.64,319
11.68,320
11.72,320
11.76,320
11.8,320
11.84,320
11.88,320
11.92,320
11.96,320
12.0,320
12.04,319
12.08,319
12.12,318
12.16,317
12.2,316
12.24,316
12.28,316
12.32,315
12.36,316
12.4,316
12.44,316
12.48,316
12.52,316
12.56,316
12.6,317
12.64,317
12.68,317
12.72,318
12.76,317
12.8,317
12.84,316
12.88,315
12.92,313
12.96,311
13.0,310
13.04,310
13.08,310
13.12,309
13.16,309
13.2,310
