time,321_x
0.0,660
0.04,662
0.08,662
0.12,662
0.16,662
0.2,662
0.24,662
0.28,662
0.32,663
0.36,663
0.4,663
0.44,663
0.48,663
0.52,663
0.56,663
0.6,664
0.64,664
0.68,664
0.72,663
0.76,663
0.8,662
0.84,662
0.88,662
0.92,662
0.96,662
1.0,662
1.04,662
1.08,662
1.12,662
1.16,662
1.2,663
1.24,662
1.28,663
1.32,663
1.36,663
1.4,663
1.44,663
1.48,663
1.52,664
1.56,664
1.6,664
1.64,663
1.68,663
1.72,663
1.76,663
1.8,663
1.84,663
1.88,663
1.92,662
1.96,662
2.0,662
2.04,662
2.08,662
2.12,662
2.16,662
2.2,662
2.24,662
2.28,663
2.32,663
2.36,663
2.4,663
2.44,663
2.48,663
2.52,663
2.56,663
2.6,663
2.64,663
2.68,663
2.72,663
2.76,663
2.8,663
2.84,663
2.88,663
2.92,663
2.96,663
3.0,663
3.04,663
3.08,663
3.12,663
3.16,663
3.2,663
3.24,663
3.28,663
3.32,662
3.36,663
3.4,663
3.44,663
3.48,664
3.52,664
3.56,663
3.6,663
3.64,663
3.68,662
3.72,663
3.76,661
3.8,661
3.84,661
3.88,661
3.92,661
3.96,661
4.0,661
4.04,661
4.08,662
4.12,662
4.16,662
4.2,661
4.24,662
4.28,663
4.32,663
4.36,663
4.4,663
4.44,663
4.48,663
4.52,663
4.56,663
4.6,663
4.64,663
4.68,663
4.72,663
4.76,663
4.8,663
4.84,663
4.88,663
4.92,663
4.96,662
5.0,662
5.04,662
5.08,662
5.12,661
5.16,661
5.2,661
5.24,661
5.28,661
5.32,661
5.36,661
5.4,661
5.44,661
5.48,661
5.52,661
5.56,661
5.6,661
5.64,661
5.68,661
5.72,661
5.76,661
5.8,661
5.84,661
5.88,661
5.92,660
5.96,661
6.0,661
6.04,660
6.08,660
6.12,661
6.16,661
6.2,661
6.24,661
6.28,661
6.32,659
6.36,659
6.4,659
6.44,659
6.48,658
6.52,658
6.56,657
6.6,657
6.64,657
6.68,658
6.72,658
6.76,658
6.8,658
6.84,658
6.88,658
6.92,657
6.96,658
7.0,657
7.04,658
7.08,658
7.12,659
7.16,659
7.2,659
7.24,659
7.28,660
7.32,660
7.36,660
7.4,661
7.44,661
7.48,661
7.52,661
7.56,661
7.6,662
7.64,662
7.68,662
7.72,661
7.76,661
7.8,661
7.84,661
7.88,661
7.92,661
7.96,661
8.0,661
8.04,661
8.08,659
8.12,659
8.16,659
8.2,659
8.24,659
8.28,659
8.32,658
8.36,659
8.4,659
8.44,659
8.48,659
8.52,659
8.56,659
8.6,659
8.64,659
8.68,659
8.72,659
8.76,659
8.8,659
8.84,659
8.88,659
8.92,659
8.96,660
9.0,660
9.04,660
9.08,660
9.12,661
9.16,660
9.2,661
9.24,662
9.28,662
9.32,662
9.36,662
9.4,661
9.44,660
9.48,661
9.52,661
9.56,661
9.6,659
9.64,659
9.68,660
9.72,661
9.76,661
9.8,662
9.84,661
9.88,661
9.92,659
9.96,658
10.0,658
10.04,658
10.08,658
10.12,658
10.16,658
10.2,658
10.24,659
10.28,659
10.32,659
10.36,659
10.4,659
10.44,659
10.48,659
10.52,659
10.56,658
10.6,658
10.64,658
10.68,658
10.72,658
10.76,658
10.8,659
10.84,659
10.88,659
10.92,659
10.96,659
11.0,660
11.04,660
11.08,660
11.12,659
11.16,660
11.2,660
11.24,660
11.28,660
11.32,660
11.36,660
11.4,660
11.44,660
11.48,661
11.52,662
11.56,661
11.6,661
11.64,662
11.68,661
11.72,661
11.76,661
11.8,661
11.84,661
11.88,661
11.92,660
11.96,660
12.0,660
12.04,659
12.08,659
12.12,659
12.16,659
12.2,659
12.24,659
12.28,659
12.32,659
12.36,659
12.4,659
12.44,659
12.48,659
12.52,659
12.56,659
12.6,660
12.64,660
12.68,661
12.72,662
12.76,662
12.8,663
12.84,663
12.88,663
12.92,663
12.96,661
13.0,660
13.04,657
13.08,655
13.12,654
13.16,654
13.2,654
13.24,653
13.28,653
13.32,651
13.36,650
13.4,649
13.44,649
13.48,649
13.52,649
13.56,650
13.6,650
13.64,650
13.68,650
13.72,651
13.76,651
13.8,651
13.84,651
13.88,651
13.92,650
13.96,651
14.0,655
14.04,658
14.08,658
14.12,660
14.16,662
14.2,662
14.24,663
14.28,665
14.32,666
14.36,666
14.4,667
14.44,667
14.48,668
14.52,668
14.56,669
14.6,668
14.64,668
14.68,667
14.72,664
14.76,664
14.8,665
14.84,665
14.88,662
14.92,663
14.96,661
15.0,660
15.04,659
15.08,660
15.12,661
15.16,661
15.2,661
15.24,661
15.28,662
15.32,661
15.36,659
15.4,659
15.44,658
15.48,659
15.52,659
15.56,659
15.6,659
15.64,658
15.68,658
15.72,658
15.76,660
15.8,660
15.84,661
15.88,661
15.92,661
15.96,661
16.0,661
16.04,661
16.08,660
16.12,660
16.16,660
16.2,659
16.24,659
16.28,658
16.32,659
16.36,659
16.4,659
16.44,659
16.48,659
16.52,658
16.56,658
16.6,659
16.64,658
16.68,659
16.72,659
16.76,659
16.8,659
16.84,659
16.88,659
16.92,658
16.96,658
17.0,658
17.04,658
17.08,658
