time,375_y
0.0,322
0.04,321
0.08,321
0.12,321
0.16,320
0.2,320
0.24,320
0.28,320
0.32,320
0.36,320
0.4,320
0.44,320
0.48,320
0.52,320
0.56,320
0.6,320
0.64,319
0.68,319
0.72,319
0.76,319
0.8,318
0.84,318
0.88,318
0.92,318
0.96,317
1.0,318
1.04,318
1.08,318
1.12,319
1.16,319
1.2,318
1.24,319
1.28,318
1.32,319
1.36,319
1.4,319
1.44,319
1.48,319
1.52,319
1.56,319
1.6,319
1.64,320
1.68,320
1.72,320
1.76,321
1.8,321
1.84,321
1.88,321
1.92,321
1.96,321
2.0,321
2.04,321
2.08,321
2.12,321
2.16,321
2.2,321
2.24,321
2.28,321
2.32,321
2.36,321
2.4,321
2.44,321
2.48,321
2.52,321
2.56,321
2.6,321
2.64,321
2.68,321
2.72,321
2.76,321
2.8,321
2.84,321
2.88,321
2.92,321
2.96,321
3.0,321
3.04,321
3.08,321
3.12,321
3.16,321
3.2,321
3.24,321
3.28,322
3.32,324
3.36,326
3.4,326
3.44,325
3.48,323
3.52,324
3.56,325
3.6,326
3.64,327
3.68,327
3.72,326
3.76,327
3.8,328
3.84,328
3.88,328
3.92,327
3.96,327
4.0,327
4.04,326
4.08,326
4.12,326
4.16,326
4.2,327
4.24,326
4.28,325
4.32,325
4.36,325
4.4,324
4.44,324
4.48,324
4.52,324
4.56,325
4.6,325
4.64,325
4.68,325
4.72,325
4.76,325
4.8,325
4.84,325
4.88,325
4.92,325
4.96,325
5.0,325
5.04,325
5.08,325
5.12,325
5.16,325
5.2,325
5.24,325
5.28,325
5.32,325
5.36,325
5.4,325
5.44,325
5.48,325
5.52,325
5.56,325
5.6,325
5.64,325
5.68,325
5.72,324
5.76,324
5.8,324
5.84,325
5.88,325
5.92,326
5.96,328
6.0,328
6.04,326
6.08,326
6.12,328
6.16,332
6.2,333
6.24,333
6.28,333
6.32,333
6.36,331
6.4,330
6.44,330
6.48,330
6.52,331
6.56,332
6.6,333
6.64,332
6.68,332
6.72,333
6.76,333
6.8,333
6.84,332
6.88,332
6.92,333
6.96,332
7.0,332
7.04,332
7.08,332
7.12,332
7.16,332
7.2,332
7.24,332
7.28,331
7.32,331
7.36,331
7.4,331
7.44,330
7.48,330
7.52,330
7.56,330
7.6,329
7.64,329
7.68,329
7.72,329
7.76,329
7.8,329
7.84,329
7.88,329
7.92,329
7.96,329
8.0,329
8.04,329
8.08,329
8.12,329
8.16,329
8.2,328
8.24,328
8.28,328
8.32,328
8.36,328
8.4,328
8.44,328
8.48,328
8.52,328
8.56,328
8.6,328
8.64,328
8.68,328
8.72,328
8.76,328
8.8,328
8.84,328
8.88,328
8.92,328
8.96,328
9.0,328
9.04,327
9.08,327
9.12,327
9.16,327
9.2,326
9.24,326
9.28,326
9.32,327
9.36,327
9.4,327
9.44,327
9.48,328
9.52,330
9.56,331
9.6,331
9.64,331
9.68,333
9.72,335
9.76,337
9.8,337
9.84,335
9.88,333
9.92,331
9.96,331
10.0,332
10.04,334
10.08,336
10.12,335
10.16,335
10.2,335
10.24,335
10.28,336
10.32,336
10.36,336
10.4,336
10.44,336
10.48,336
10.52,337
10.56,337
10.6,335
10.64,334
10.68,333
10.72,332
10.76,331
10.8,330
10.84,330
10.88,329
10.92,329
10.96,328
11.0,328
11.04,328
11.08,328
11.12,328
11.16,328
11.2,328
11.24,328
11.28,328
11.32,328
11.36,327
11.4,327
11.44,327
11.48,327
11.52,327
11.56,327
11.6,326
11.64,326
11.68,327
11.72,327
11.76,328
11.8,328
11.84,327
11.88,327
11.92,327
11.96,327
12.0,327
12.04,327
12.08,326
12.12,325
12.16,325
12.2,324
12.24,324
12.28,323
12.32,323
12.36,323
12.4,323
12.44,323
12.48,323
12.52,324
12.56,324
12.6,324
12.64,325
12.68,325
12.72,325
12.76,325
12.8,325
12.84,324
12.88,322
12.92,321
12.96,320
13.0,318
13.04,318
13.08,318
13.12,318
13.16,321
13.2,323
13.24,324
13.28,325
13.32,325
13.36,326
13.4,328
13.44,330
13.48,332
13.52,334
13.56,336
13.6,337
13.64,338
13.68,338
13.72,339
13.76,340
13.8,340
13.84,340
13.88,341
13.92,342
13.96,344
14.0,346
14.04,344
14.08,342
14.12,340
14.16,340
14.2,339
14.24,339
14.28,339
14.32,337
14.36,336
14.4,333
14.44,331
14.48,329
14.52,330
14.56,333
14.6,336
14.64,336
14.68,337
14.72,336
14.76,334
14.8,334
14.84,336
14.88,335
14.92,332
14.96,331
15.0,332
15.04,335
15.08,338
15.12,337
15.16,335
15.2,334
15.24,335
15.28,335
15.32,336
15.36,336
15.4,334
15.44,334
15.48,334
15.52,335
15.56,336
15.6,336
15.64,337
15.68,337
15.72,339
15.76,340
15.8,338
15.84,335
15.88,333
15.92,332
15.96,332
16.0,332
16.04,331
16.08,331
16.12,331
16.16,330
16.2,330
16.24,330
16.28,329
16.32,328
16.36,328
16.4,327
16.44,328
16.48,328
16.52,328
16.56,328
16.6,328
16.64,328
16.68,328
16.72,327
16.76,327
16.8,326
16.84,325
16.88,325
16.92,324
16.96,324
17.0,325
17.04,324
17.08,324
17.12,324
17.16,323
17.2,323
17.24,322
17.28,322
17.32,321
17.36,321
17.4,321
17.44,320
17.48,320
17.52,320
17.56,320
17.6,320
17.64,321
17.68,322
17.72,323
17.76,326
17.8,329
17.84,330
17.88,330
17.92,328
17.96,326
18.0,325
18.04,325
18.08,327
18.12,328
18.16,331
18.2,334
18.24,335
18.28,333
18.32,335
18.36,336
18.4,335
18.44,335
18.48,335
18.52,335
18.56,335
18.6,335
18.64,335
18.68,334
18.72,334
18.76,336
18.8,338
18.84,340
18.88,341
18.92,341
18.96,340
19.0,337
19.04,335
19.08,337
19.12,338
19.16,338
19.2,338
19.24,337
19.28,335
19.32,331
19.36,325
19.4,321
19.44,318
19.48,318
19.52,317
19.56,317
19.6,317
19.64,318
19.68,318
19.72,318
19.76,322
19.8,327
19.84,332
19.88,337
19.92,340
19.96,343
20.0,345
20.04,345
20.08,344
20.12,344
20.16,345
20.2,346
20.24,347
20.28,348
20.32,348
20.36,346
20.4,344
20.44,343
20.48,344
20.52,346
20.56,347
20.6,346
20.64,345
20.68,345
20.72,345
20.76,346
20.8,346
20.84,347
20.88,348
20.92,348
20.96,345
21.0,343
21.04,343
21.08,343
21.12,343
21.16,342
21.2,341
21.24,340
21.28,339
21.32,338
21.36,338
21.4,338
21.44,338
21.48,338
21.52,338
21.56,338
21.6,338
21.64,337
21.68,337
21.72,337
21.76,337
21.8,337
21.84,337
21.88,336
21.92,336
21.96,336
22.0,335
22.04,335
22.08,335
22.12,335
22.16,334
22.2,334
22.24,333
22.28,333
22.32,333
22.36,331
22.4,330
22.44,328
22.48,326
