time,84_y
0.0,331
0.04,330
0.08,330
0.12,330
0.16,330
0.2,330
0.24,330
0.28,330
0.32,330
0.36,330
0.4,330
0.44,330
0.48,330
0.52,330
0.56,330
0.6,329
0.64,329
0.68,329
0.72,329
0.76,328
0.8,328
0.84,328
0.88,328
0.92,328
0.96,327
1.0,327
1.04,328
1.08,328
1.12,329
1.16,329
1.2,328
1.24,329
1.28,328
1.32,329
1.36,328
1.4,329
1.44,329
1.48,329
1.52,329
1.56,329
1.6,329
1.64,329
1.68,330
1.72,330
1.76,331
1.8,331
1.84,331
1.88,331
1.92,331
1.96,331
2.0,331
2.04,331
2.08,331
2.12,331
2.16,331
2.2,331
2.24,331
2.28,331
2.32,331
2.36,331
2.4,331
2.44,331
2.48,331
2.52,331
2.56,331
2.6,331
2.64,331
2.68,331
2.72,331
2.76,331
2.8,331
2.84,331
2.88,331
2.92,331
2.96,331
3.0,331
3.04,331
3.08,331
3.12,331
3.16,331
3.2,331
3.24,332
3.28,334
3.32,338
3.36,342
3.4,341
3.44,338
3.48,335
3.52,336
3.56,337
3.6,338
3.64,339
3.68,339
3.72,338
3.76,339
3.8,341
3.84,341
3.88,341
3.92,341
3.96,340
4.0,340
4.04,339
4.08,339
4.12,339
4.16,339
4.2,339
4.24,338
4.28,337
4.32,336
4.36,336
4.4,336
4.44,336
4.48,336
4.52,336
4.56,336
4.6,336
4.64,336
4.68,336
4.72,336
4.76,336
4.8,337
4.84,337
4.88,337
4.92,337
4.96,336
5.0,336
5.04,336
5.08,336
5.12,336
5.16,337
5.2,337
5.24,337
5.28,337
5.32,337
5.36,337
5.4,337
5.44,337
5.48,337
5.52,337
5.56,337
5.6,337
5.64,336
5.68,336
5.72,336
5.76,336
5.8,336
5.84,336
5.88,337
5.92,338
5.96,343
6.0,343
6.04,342
6.08,341
6.12,344
6.16,347
6.2,347
6.24,347
6.28,347
6.32,348
6.36,345
6.4,345
6.44,344
6.48,345
6.52,346
6.56,347
6.6,348
6.64,348
6.68,347
6.72,348
6.76,348
6.8,347
6.84,346
6.88,346
6.92,346
6.96,345
7.0,345
7.04,345
7.08,345
7.12,345
7.16,345
7.2,344
7.24,344
7.28,344
7.32,343
7.36,343
7.4,343
7.44,342
7.48,342
7.52,342
7.56,342
7.6,341
7.64,341
7.68,341
7.72,341
7.76,341
7.8,341
7.84,341
7.88,341
7.92,341
7.96,341
8.0,342
8.04,341
8.08,341
8.12,341
8.16,340
8.2,340
8.24,340
8.28,340
8.32,340
8.36,340
8.4,340
8.44,340
8.48,340
8.52,340
8.56,340
8.6,340
8.64,340
8.68,340
8.72,340
8.76,339
8.8,339
8.84,339
8.88,339
8.92,339
8.96,339
9.0,339
9.04,339
9.08,339
9.12,339
9.16,339
9.2,339
9.24,339
9.28,341
9.32,343
9.36,342
9.4,341
9.44,340
9.48,342
9.52,346
9.56,349
9.6,348
9.64,348
9.68,351
9.72,355
9.76,356
9.8,355
9.84,352
9.88,348
9.92,344
9.96,343
10.0,344
10.04,349
10.08,352
10.12,350
10.16,349
10.2,349
10.24,350
10.28,350
10.32,351
10.36,351
10.4,352
10.44,352
10.48,352
10.52,352
10.56,351
10.6,347
10.64,346
10.68,345
10.72,344
10.76,344
10.8,343
10.84,342
10.88,342
10.92,341
10.96,341
11.0,341
11.04,341
11.08,341
11.12,341
11.16,340
11.2,340
11.24,340
11.28,339
11.32,339
11.36,339
11.4,339
11.44,339
11.48,338
11.52,338
11.56,338
11.6,338
11.64,338
11.68,338
11.72,339
11.76,339
11.8,339
11.84,339
11.88,339
11.92,339
11.96,338
12.0,338
12.04,337
12.08,337
12.12,336
12.16,335
12.2,334
12.24,334
12.28,333
12.32,334
12.36,334
12.4,334
12.44,334
12.48,334
12.52,334
12.56,335
12.6,335
12.64,336
12.68,336
12.72,336
12.76,336
12.8,335
12.84,334
12.88,332
12.92,331
12.96,329
13.0,328
13.04,328
13.08,328
13.12,330
13.16,335
13.2,338
13.24,339
13.28,340
13.32,337
13.36,337
13.4,339
13.44,341
13.48,344
13.52,346
13.56,347
13.6,349
13.64,349
13.68,351
13.72,351
13.76,352
13.8,353
13.84,354
13.88,354
13.92,354
13.96,358
14.0,364
14.04,363
14.08,357
14.12,352
14.16,351
14.2,350
14.24,352
14.28,353
14.32,351
14.36,349
14.4,346
14.44,344
14.48,342
14.52,343
14.56,351
14.6,355
14.64,354
14.68,355
14.72,349
14.76,349
14.8,353
14.84,356
14.88,350
14.92,344
14.96,343
15.0,344
15.04,349
15.08,356
15.12,355
15.16,353
15.2,351
15.24,352
15.28,355
15.32,354
15.36,352
15.4,350
15.44,349
15.48,350
15.52,351
15.56,353
15.6,353
15.64,352
15.68,354
15.72,356
15.76,357
15.8,356
15.84,351
15.88,347
15.92,346
15.96,345
16.0,345
16.04,344
16.08,343
16.12,343
16.16,342
16.2,341
16.24,341
16.28,340
16.32,339
16.36,339
16.4,339
16.44,338
16.48,339
16.52,338
16.56,338
16.6,338
16.64,338
16.68,338
16.72,337
16.76,337
16.8,336
16.84,335
16.88,335
16.92,334
16.96,334
17.0,334
17.04,334
17.08,334
17.12,333
17.16,333
17.2,333
17.24,332
17.28,331
17.32,331
17.36,331
17.4,330
17.44,330
17.48,330
17.52,330
17.56,330
17.6,330
17.64,331
17.68,332
17.72,334
17.76,339
17.8,348
17.84,349
17.88,347
17.92,344
17.96,340
18.0,339
18.04,340
18.08,341
18.12,343
18.16,347
18.2,350
18.24,350
18.28,347
18.32,348
18.36,348
18.4,347
18.44,347
18.48,347
18.52,347
18.56,348
18.6,348
18.64,345
18.68,344
18.72,345
18.76,347
18.8,351
18.84,353
18.88,355
18.92,355
18.96,355
19.0,352
19.04,348
19.08,349
19.12,352
19.16,352
19.2,351
19.24,352
19.28,350
19.32,343
19.36,336
19.4,331
19.44,329
19.48,331
19.52,329
19.56,328
19.6,330
19.64,330
19.68,329
19.72,329
19.76,334
19.8,340
19.84,344
19.88,346
19.92,349
19.96,351
20.0,354
20.04,357
20.08,358
20.12,358
20.16,362
20.2,361
20.24,363
20.28,363
20.32,362
20.36,359
20.4,355
20.44,354
20.48,356
20.52,360
20.56,362
20.6,360
20.64,357
20.68,357
20.72,359
20.76,358
20.8,359
20.84,362
20.88,365
20.92,364
20.96,358
21.0,355
21.04,355
21.08,355
21.12,355
21.16,352
21.2,352
21.24,351
21.28,350
21.32,350
21.36,349
21.4,349
21.44,349
21.48,349
21.52,349
21.56,348
21.6,348
21.64,348
21.68,348
21.72,348
21.76,348
21.8,347
21.84,347
21.88,346
21.92,347
21.96,346
22.0,346
22.04,346
22.08,345
22.12,345
22.16,345
22.2,344
22.24,344
22.28,343
22.32,343
22.36,342
22.4,340
22.44,338
22.48,336
22.52,336
22.56,335
22.6,336
22.64,336
22.68,339
22.72,343
22.76,345
22.8,346
22.84,346
22.88,347
22.92,347
22.96,346
23.0,344
23.04,345
23.08,347
23.12,349
23.16,350
23.2,351
23.24,353
23.28,354
23.32,364
23.36,362
23.4,357
23.44,355
23.48,352
23.52,355
23.56,358
23.6,358
23.64,358
23.68,358
23.72,359
23.76,359
23.8,357
23.84,356
23.88,356
23.92,357
23.96,358
24.0,360
24.04,356
24.08,354
24.12,355
24.16,358
24.2,357
24.24,352
24.28,349
24.32,348
24.36,345
24.4,342
24.44,340
24.48,341
24.52,341
24.56,343
24.6,344
24.64,346
24.68,349
24.72,355
24.76,348
24.8,344
24.84,346
24.88,350
24.92,355
24.96,359
25.0,359
25.04,360
25.08,362
25.12,363
25.16,365
25.2,365
25.24,361
25.28,359
25.32,359
25.36,360
25.4,360
25.44,360
25.48,364
25.52,362
25.56,357
25.6,355
25.64,356
25.68,361
25.72,361
25.76,361
25.8,360
25.84,360
25.88,364
25.92,366
25.96,368
26.0,368
26.04,368
26.08,368
26.12,368
26.16,366
26.2,365
26.24,367
26.28,369
26.32,369
26.36,369
26.4,368
26.44,367
26.48,365
26.52,364
26.56,364
26.6,362
26.64,355
26.68,350
26.72,348
26.76,350
26.8,351
26.84,349
26.88,350
26.92,350
26.96,350
27.0,353
27.04,355
27.08,353
27.12,356
27.16,361
27.2,367
27.24,370
27.28,371
27.32,370
27.36,368
27.4,371
27.44,374
27.48,374
27.52,370
27.56,365
27.6,362
27.64,361
27.68,361
27.72,360
27.76,359
27.8,358
27.84,358
27.88,356
27.92,356
27.96,355
28.0,355
28.04,354
28.08,354
28.12,352
28.16,351
28.2,351
28.24,351
28.28,349
28.32,349
28.36,349
28.4,347
28.44,347
28.48,348
28.52,349
28.56,350
28.6,350
28.64,349
28.68,348
28.72,348
28.76,348
28.8,348
28.84,349
28.88,348
28.92,347
28.96,345
29.0,343
29.04,341
29.08,339
29.12,337
29.16,336
29.2,335
29.24,334
29.28,333
29.32,332
29.36,331
29.4,330
29.44,328
29.48,327
29.52,326
29.56,326
29.6,327
29.64,327
29.68,327
29.72,327
29.76,329
29.8,328
29.84,329
29.88,328
29.92,328
29.96,329
30.0,329
30.04,330
30.08,332
30.12,339
30.16,355
30.2,360
30.24,357
30.28,349
30.32,347
30.36,349
30.4,357
30.44,358
30.48,355
30.52,356
30.56,359
30.6,365
30.64,363
30.68,358
30.72,352
30.76,350
30.8,351
30.84,353
30.88,355
30.92,359
30.96,358
31.0,358
31.04,360
31.08,359
31.12,358
31.16,358
31.2,359
31.24,363
31.28,362
31.32,360
31.36,359
31.4,358
31.44,355
31.48,354
31.52,352
31.56,351
31.6,354
31.64,356
31.68,359
31.72,361
31.76,368
31.8,374
31.84,376
31.88,375
31.92,371
31.96,370
32.0,369
32.04,366
32.08,365
32.12,366
32.16,367
32.2,364
32.24,360
32.28,359
32.32,358
32.36,359
32.4,360
32.44,358
32.48,357
32.52,361
32.56,371
32.6,367
32.64,362
32.68,359
32.72,358
32.76,357
32.8,358
32.84,358
32.88,358
32.92,358
32.96,356
33.0,355
33.04,355
33.08,356
33.12,356
33.16,355
33.2,354
33.24,354
33.28,354
33.32,354
33.36,353
33.4,353
33.44,353
33.48,352
33.52,353
33.56,352
33.6,352
33.64,352
33.68,352
33.72,351
33.76,351
33.8,351
33.84,350
33.88,350
33.92,349
33.96,349
34.0,349
34.04,349
34.08,349
34.12,349
34.16,349
34.2,349
34.24,349
34.28,350
34.32,350
34.36,350
34.4,349
34.44,349
34.48,350
34.52,350
34.56,349
34.6,348
34.64,347
34.68,346
34.72,344
34.76,344
34.8,343
34.84,342
34.88,341
34.92,341
34.96,342
35.0,343
35.04,345
35.08,348
35.12,350
35.16,351
35.2,351
35.24,351
35.28,351
35.32,355
35.36,361
35.4,366
35.44,372
35.48,373
35.52,374
35.56,374
35.6,371
35.64,365
35.68,364
35.72,364
35.76,368
35.8,372
35.84,372
35.88,370
35.92,365
35.96,364
36.0,364
36.04,363
36.08,363
36.12,362
36.16,362
36.2,361
36.24,360
36.28,359
36.32,358
36.36,357
36.4,353
36.44,350
36.48,348
36.52,349
36.56,353
36.6,362
36.64,365
36.68,364
36.72,364
36.76,366
36.8,366
36.84,368
36.88,371
36.92,374
36.96,378
37.0,379
37.04,379
37.08,381
37.12,387
37.16,388
37.2,388
37.24,386
37.28,385
37.32,384
37.36,385
37.4,384
37.44,383
37.48,385
37.52,387
37.56,387
37.6,386
37.64,383
37.68,379
37.72,377
37.76,376
37.8,375
37.84,374
37.88,374
37.92,372
