time,269_x
0.0,655
0.04,656
0.08,656
0.12,656
0.16,656
0.2,656
0.24,656
0.28,656
0.32,656
0.36,657
0.4,657
0.44,657
0.48,657
0.52,657
0.56,657
0.6,657
0.64,658
0.68,658
0.72,657
0.76,657
0.8,656
0.84,656
0.88,656
0.92,656
0.96,656
1.0,656
1.04,655
1.08,655
1.12,656
1.16,656
1.2,656
1.24,656
1.28,657
1.32,656
1.36,657
1.4,657
1.44,657
1.48,657
1.52,657
1.56,657
1.6,657
1.64,657
1.68,657
1.72,657
1.76,657
1.8,656
1.84,656
1.88,656
1.92,656
1.96,656
2.0,656
2.04,655
2.08,655
2.12,655
2.16,655
2.2,655
2.24,655
2.28,656
2.32,656
2.36,656
2.4,656
2.44,656
2.48,656
2.52,656
2.56,656
2.6,656
2.64,656
2.68,656
2.72,656
2.76,656
2.8,656
2.84,656
2.88,656
2.92,657
2.96,656
3.0,656
3.04,656
3.08,656
3.12,656
3.16,656
3.2,656
3.24,656
3.28,656
3.32,656
3.36,656
3.4,656
3.44,655
3.48,657
3.52,657
3.56,656
3.6,656
3.64,656
3.68,655
3.72,656
3.76,654
3.8,654
3.84,654
3.88,654
3.92,654
3.96,654
4.0,654
4.04,654
4.08,655
4.12,655
4.16,655
4.2,655
4.24,655
4.28,656
4.32,656
4.36,656
4.4,656
4.44,656
4.48,656
4.52,656
4.56,656
4.6,656
4.64,656
4.68,656
4.72,656
4.76,656
4.8,656
4.84,656
4.88,656
4.92,656
4.96,656
5.0,655
5.04,655
5.08,655
5.12,655
5.16,654
5.2,654
5.24,654
5.28,654
5.32,654
5.36,654
5.4,654
5.44,655
5.48,655
5.52,655
5.56,655
5.6,654
5.64,654
5.68,654
5.72,654
5.76,654
5.8,654
5.84,654
5.88,654
5.92,653
5.96,653
6.0,653
6.04,653
6.08,653
6.12,654
6.16,654
6.2,654
6.24,654
6.28,653
6.32,652
6.36,652
6.4,652
6.44,652
6.48,651
6.52,651
6.56,650
6.6,650
6.64,650
6.68,650
6.72,651
6.76,651
6.8,651
6.84,651
6.88,651
6.92,650
6.96,651
7.0,651
7.04,651
7.08,652
7.12,652
7.16,652
7.2,653
7.24,653
7.28,653
7.32,654
7.36,654
7.4,654
7.44,654
7.48,655
7.52,655
7.56,655
7.6,655
7.64,655
7.68,655
7.72,655
7.76,655
7.8,655
7.84,655
7.88,655
7.92,655
7.96,655
8.0,654
8.04,654
8.08,653
8.12,653
8.16,653
8.2,653
8.24,652
8.28,652
8.32,652
8.36,652
8.4,652
8.44,652
8.48,652
8.52,652
8.56,652
8.6,652
8.64,652
8.68,652
8.72,653
8.76,653
8.8,653
8.84,653
8.88,653
8.92,653
8.96,653
9.0,653
9.04,653
9.08,653
9.12,654
9.16,653
9.2,654
9.24,655
9.28,655
9.32,655
9.36,655
9.4,654
9.44,653
9.48,654
9.52,654
9.56,654
9.6,653
9.64,653
9.68,653
9.72,654
9.76,654
9.8,655
9.84,654
9.88,654
9.92,653
9.96,652
10.0,652
10.04,652
10.08,651
10.12,651
10.16,651
10.2,651
10.24,651
10.28,651
10.32,652
10.36,652
10.4,652
10.44,652
10.48,652
10.52,652
