time,146_x
0.0,610
0.04,611
0.08,610
0.12,610
0.16,610
0.2,610
0.24,610
0.28,610
0.32,610
0.36,611
0.4,611
0.44,611
0.48,611
0.52,611
0.56,611
0.6,611
0.64,611
0.68,611
0.72,610
0.76,610
0.8,610
0.84,610
0.88,610
0.92,609
0.96,610
1.0,609
1.04,609
1.08,609
1.12,609
1.16,609
1.2,610
1.24,610
1.28,610
1.32,610
1.36,610
1.4,611
1.44,611
1.48,611
1.52,611
1.56,611
1.6,611
1.64,611
1.68,611
1.72,611
1.76,611
1.8,611
1.84,611
1.88,611
1.92,610
1.96,610
2.0,610
2.04,610
2.08,610
2.12,610
2.16,610
2.2,610
2.24,610
2.28,611
2.32,611
2.36,611
2.4,611
2.44,611
2.48,611
2.52,611
2.56,611
2.6,611
2.64,611
2.68,611
2.72,611
2.76,611
2.8,611
2.84,611
2.88,611
2.92,611
2.96,611
3.0,611
3.04,611
3.08,611
3.12,611
3.16,611
3.2,611
3.24,611
3.28,611
3.32,611
3.36,610
3.4,610
3.44,610
3.48,611
3.52,611
3.56,610
3.6,610
3.64,610
3.68,609
3.72,610
3.76,609
3.8,608
3.84,609
3.88,608
3.92,608
3.96,608
4.0,608
4.04,608
4.08,609
4.12,609
4.16,610
4.2,610
4.24,611
4.28,611
4.32,611
4.36,611
4.4,611
4.44,611
4.48,611
4.52,611
4.56,611
4.6,611
4.64,611
4.68,611
4.72,611
4.76,611
4.8,611
4.84,611
4.88,610
4.92,610
4.96,610
5.0,610
5.04,610
5.08,610
5.12,610
5.16,609
5.2,609
5.24,609
5.28,609
5.32,609
5.36,609
5.4,609
5.44,609
5.48,610
5.52,610
5.56,610
5.6,609
5.64,609
5.68,609
5.72,609
5.76,609
5.8,609
5.84,609
5.88,609
5.92,609
5.96,609
6.0,608
6.04,609
6.08,609
6.12,610
6.16,611
6.2,609
6.24,609
6.28,609
6.32,608
6.36,607
6.4,606
6.44,605
6.48,604
6.52,603
6.56,603
6.6,604
6.64,603
6.68,603
