time,39_y
0.0,311
0.04,310
0.08,311
0.12,310
0.16,310
0.2,310
0.24,310
0.28,310
0.32,310
0.36,310
0.4,310
0.44,310
0.48,310
0.52,310
0.56,310
0.6,309
0.64,309
0.68,308
0.72,308
0.76,308
0.8,307
0.84,307
0.88,307
0.92,307
0.96,307
1.0,307
1.04,307
1.08,308
1.12,308
1.16,308
1.2,308
1.24,308
1.28,308
1.32,308
1.36,309
1.4,309
1.44,309
1.48,309
1.52,309
1.56,309
1.6,309
1.64,310
1.68,310
1.72,311
1.76,311
1.8,311
1.84,311
1.88,311
1.92,311
1.96,311
2.0,311
2.04,311
2.08,311
2.12,311
2.16,311
2.2,311
2.24,311
2.28,311
2.32,311
2.36,311
2.4,312
2.44,311
2.48,311
2.52,311
2.56,311
2.6,311
2.64,311
2.68,311
2.72,311
2.76,311
2.8,311
2.84,311
2.88,311
2.92,311
2.96,312
3.0,311
3.04,311
3.08,311
3.12,311
3.16,311
3.2,311
3.24,311
3.28,311
3.32,311
3.36,311
3.4,311
3.44,312
3.48,314
3.52,315
3.56,316
3.6,316
3.64,318
3.68,318
3.72,318
3.76,316
3.8,316
3.84,317
3.88,318
3.92,318
3.96,317
4.0,317
4.04,317
4.08,317
4.12,317
4.16,317
4.2,317
4.24,317
4.28,317
4.32,317
4.36,317
4.4,317
4.44,317
4.48,317
4.52,317
4.56,317
4.6,317
4.64,317
4.68,317
4.72,317
4.76,317
4.8,317
4.84,317
4.88,317
4.92,317
4.96,317
5.0,317
5.04,317
5.08,317
5.12,317
5.16,317
5.2,317
5.24,317
5.28,317
5.32,317
5.36,317
5.4,318
5.44,318
5.48,318
5.52,318
5.56,318
5.6,318
5.64,317
5.68,317
5.72,317
5.76,317
5.8,317
5.84,317
5.88,317
5.92,317
5.96,316
6.0,315
6.04,313
6.08,314
6.12,316
6.16,320
6.2,324
6.24,325
6.28,324
6.32,321
6.36,320
6.4,320
6.44,321
6.48,321
6.52,320
6.56,320
6.6,320
6.64,320
6.68,321
6.72,321
6.76,322
6.8,322
