time,405_x
0.0,654
0.04,656
0.08,656
0.12,656
0.16,656
0.2,656
0.24,656
0.28,656
0.32,656
0.36,656
0.4,657
0.44,657
0.48,657
0.52,657
0.56,657
0.6,657
0.64,657
0.68,658
0.72,656
0.76,656
0.8,656
0.84,656
0.88,656
0.92,656
0.96,656
1.0,655
1.04,655
1.08,655
1.12,656
1.16,656
1.2,656
1.24,656
1.28,657
1.32,656
1.36,657
1.4,657
1.44,657
1.48,657
1.52,657
1.56,657
1.6,657
1.64,657
1.68,657
1.72,657
1.76,657
1.8,657
1.84,656
1.88,656
1.92,656
1.96,656
2.0,656
2.04,656
2.08,656
2.12,656
2.16,656
2.2,656
2.24,656
2.28,656
2.32,656
2.36,656
2.4,657
2.44,657
2.48,657
2.52,657
2.56,657
2.6,656
2.64,656
2.68,656
2.72,656
2.76,657
2.8,657
2.84,657
2.88,657
2.92,657
2.96,657
3.0,657
3.04,657
3.08,657
3.12,657
3.16,657
3.2,656
3.24,656
3.28,657
3.32,657
3.36,657
3.4,657
3.44,656
3.48,658
3.52,658
3.56,657
3.6,657
3.64,656
3.68,656
3.72,656
3.76,655
3.8,655
3.84,656
3.88,655
3.92,655
3.96,655
4.0,655
4.04,655
4.08,656
4.12,656
4.16,655
4.2,655
4.24,656
4.28,656
4.32,657
4.36,657
4.4,657
4.44,657
4.48,657
4.52,657
4.56,657
4.6,657
4.64,657
4.68,657
4.72,657
4.76,657
4.8,657
4.84,657
4.88,656
4.92,656
4.96,656
5.0,656
5.04,656
5.08,656
5.12,655
5.16,655
5.2,655
5.24,655
5.28,655
5.32,655
5.36,655
5.4,655
5.44,655
5.48,655
5.52,655
5.56,655
5.6,655
5.64,655
5.68,655
5.72,655
5.76,655
5.8,655
5.84,655
5.88,654
5.92,654
5.96,655
6.0,655
6.04,655
6.08,655
6.12,656
6.16,655
6.2,655
6.24,655
6.28,655
6.32,653
6.36,653
6.4,653
6.44,653
6.48,652
6.52,651
6.56,651
6.6,651
6.64,651
6.68,651
6.72,651
6.76,651
6.8,651
6.84,651
6.88,651
6.92,651
6.96,651
7.0,651
7.04,652
7.08,652
7.12,653
7.16,653
7.2,653
7.24,653
7.28,653
7.32,654
7.36,654
7.4,655
7.44,655
7.48,655
7.52,655
7.56,655
7.6,655
7.64,655
7.68,655
7.72,655
7.76,655
7.8,655
7.84,655
7.88,655
7.92,655
7.96,655
8.0,655
8.04,654
8.08,653
8.12,653
8.16,653
8.2,653
8.24,652
8.28,652
8.32,652
8.36,652
8.4,652
8.44,653
8.48,652
8.52,653
8.56,653
8.6,653
8.64,653
8.68,653
8.72,653
8.76,653
8.8,653
8.84,653
8.88,653
8.92,653
8.96,653
9.0,653
9.04,653
9.08,654
9.12,654
9.16,654
9.2,655
9.24,655
9.28,656
9.32,656
9.36,655
9.4,655
9.44,654
9.48,655
9.52,655
9.56,655
9.6,654
9.64,654
9.68,655
9.72,656
9.76,656
9.8,656
9.84,655
9.88,655
9.92,653
9.96,652
10.0,651
10.04,652
10.08,652
10.12,652
10.16,652
10.2,652
10.24,652
10.28,652
10.32,652
10.36,653
10.4,653
10.44,653
10.48,653
10.52,653
10.56,652
10.6,652
10.64,651
10.68,651
10.72,651
10.76,651
10.8,652
10.84,652
10.88,652
10.92,652
10.96,653
11.0,653
11.04,653
11.08,653
11.12,653
11.16,653
11.2,654
11.24,653
11.28,653
11.32,653
11.36,653
11.4,653
11.44,654
11.48,655
11.52,655
11.56,655
11.6,655
11.64,655
11.68,655
11.72,655
11.76,655
11.8,654
11.84,654
11.88,654
11.92,654
11.96,653
12.0,653
12.04,653
12.08,653
12.12,652
12.16,652
12.2,652
12.24,652
12.28,652
12.32,652
12.36,652
12.4,652
12.44,652
12.48,652
12.52,652
12.56,653
12.6,653
12.64,654
12.68,654
12.72,655
12.76,655
12.8,656
12.84,657
12.88,656
12.92,656
12.96,655
13.0,653
13.04,650
13.08,649
13.12,648
13.16,648
13.2,649
13.24,648
13.28,647
13.32,646
13.36,645
13.4,644
13.44,643
13.48,643
13.52,643
13.56,644
13.6,644
13.64,645
13.68,645
13.72,645
13.76,645
13.8,645
13.84,645
13.88,645
13.92,644
13.96,645
14.0,649
14.04,652
14.08,652
14.12,653
14.16,655
14.2,656
14.24,657
14.28,659
14.32,661
14.36,661
14.4,662
14.44,662
14.48,662
14.52,663
14.56,664
14.6,663
14.64,662
14.68,661
14.72,657
14.76,658
14.8,660
14.84,659
14.88,656
14.92,656
14.96,655
15.0,654
15.04,653
15.08,655
15.12,655
15.16,655
15.2,655
15.24,655
15.28,656
15.32,655
15.36,653
15.4,653
15.44,652
15.48,653
15.52,653
15.56,653
15.6,653
15.64,652
15.68,653
15.72,653
15.76,654
15.8,654
15.84,655
15.88,655
15.92,654
15.96,654
16.0,654
16.04,654
16.08,653
16.12,653
16.16,653
16.2,652
16.24,652
16.28,651
16.32,652
16.36,652
16.4,652
16.44,652
16.48,652
16.52,651
16.56,652
16.6,652
16.64,652
16.68,652
16.72,652
16.76,653
16.8,652
16.84,652
16.88,652
16.92,652
16.96,652
17.0,651
17.04,651
17.08,651
17.12,651
17.16,651
17.2,651
17.24,651
17.28,651
17.32,650
17.36,650
17.4,650
17.44,651
17.48,651
17.52,651
17.56,651
17.6,651
17.64,652
17.68,651
17.72,651
17.76,651
17.8,654
17.84,656
17.88,657
17.92,658
17.96,658
18.0,659
18.04,658
18.08,657
18.12,656
18.16,657
18.2,656
18.24,657
18.28,657
18.32,656
18.36,656
18.4,656
18.44,656
18.48,655
18.52,654
18.56,654
18.6,654
18.64,653
18.68,653
18.72,652
18.76,651
18.8,650
18.84,649
18.88,648
18.92,647
18.96,647
19.0,648
19.04,648
19.08,646
19.12,646
19.16,646
19.2,646
19.24,647
19.28,647
19.32,646
19.36,645
19.4,645
19.44,645
19.48,645
19.52,645
19.56,642
19.6,642
19.64,640
19.68,642
19.72,642
19.76,644
19.8,645
19.84,644
19.88,642
19.92,641
19.96,640
20.0,640
20.04,641
20.08,642
20.12,643
20.16,645
20.2,644
20.24,645
20.28,645
20.32,646
20.36,646
20.4,648
20.44,647
20.48,648
20.52,649
20.56,650
20.6,650
20.64,649
20.68,649
20.72,648
20.76,647
20.8,646
20.84,647
20.88,648
20.92,649
20.96,649
21.0,648
21.04,649
21.08,649
21.12,649
21.16,649
21.2,649
21.24,649
21.28,649
21.32,649
21.36,649
21.4,649
21.44,649
21.48,649
21.52,649
21.56,650
21.6,650
21.64,650
21.68,650
21.72,650
21.76,650
21.8,650
21.84,650
21.88,649
21.92,649
21.96,649
22.0,649
22.04,649
22.08,649
22.12,648
22.16,649
22.2,649
22.24,649
22.28,649
22.32,649
22.36,649
22.4,649
22.44,648
22.48,648
22.52,649
22.56,650
