time,78_x
0.0,611
0.04,611
0.08,611
0.12,611
0.16,610
0.2,611
0.24,611
0.28,611
0.32,611
0.36,611
0.4,611
0.44,611
0.48,611
0.52,611
0.56,612
0.6,612
0.64,612
0.68,612
0.72,611
0.76,611
0.8,611
0.84,610
0.88,610
0.92,610
0.96,610
1.0,610
1.04,610
1.08,610
1.12,610
1.16,610
1.2,610
1.24,611
1.28,611
1.32,611
1.36,611
1.4,611
1.44,611
1.48,612
1.52,612
1.56,612
1.6,612
1.64,612
1.68,612
1.72,612
1.76,612
1.8,612
1.84,612
1.88,612
1.92,611
1.96,611
2.0,611
2.04,611
2.08,611
2.12,611
2.16,611
2.2,611
2.24,611
2.28,611
2.32,611
2.36,612
2.4,612
2.44,612
2.48,612
2.52,612
2.56,612
2.6,612
2.64,612
2.68,612
2.72,612
2.76,612
2.8,612
2.84,612
2.88,612
2.92,612
2.96,612
3.0,612
3.04,612
3.08,612
3.12,612
3.16,612
3.2,612
3.24,612
3.28,612
3.32,613
3.36,613
3.4,612
3.44,612
3.48,611
3.52,612
3.56,611
3.6,611
3.64,611
3.68,610
3.72,610
3.76,610
3.8,610
3.84,610
3.88,609
3.92,609
3.96,610
4.0,609
4.04,609
4.08,610
4.12,610
4.16,611
4.2,611
4.24,612
4.28,612
4.32,612
4.36,612
4.4,612
4.44,612
4.48,612
4.52,612
4.56,611
4.6,611
4.64,611
4.68,611
4.72,611
4.76,611
4.8,611
4.84,611
4.88,611
4.92,611
4.96,611
5.0,611
5.04,611
5.08,610
5.12,610
5.16,610
5.2,610
5.24,610
5.28,610
5.32,610
5.36,610
5.4,610
5.44,610
5.48,610
5.52,610
5.56,610
5.6,610
5.64,610
5.68,610
5.72,610
5.76,610
5.8,610
5.84,610
5.88,610
5.92,610
5.96,611
6.0,610
6.04,611
6.08,611
6.12,612
6.16,613
6.2,611
6.24,610
6.28,610
6.32,610
6.36,608
6.4,607
6.44,606
6.48,606
6.52,605
6.56,605
6.6,605
6.64,605
6.68,604
6.72,604
6.76,605
6.8,605
6.84,605
6.88,606
6.92,605
6.96,606
7.0,606
7.04,607
7.08,607
7.12,608
7.16,608
7.2,609
7.24,609
7.28,609
7.32,609
7.36,610
7.4,610
7.44,610
7.48,610
7.52,610
7.56,610
7.6,610
7.64,610
7.68,610
7.72,610
7.76,610
7.8,610
7.84,610
7.88,610
7.92,610
7.96,609
8.0,610
8.04,609
8.08,609
8.12,608
8.16,609
8.2,608
8.24,608
8.28,608
8.32,608
8.36,608
8.4,608
8.44,608
8.48,608
8.52,608
8.56,608
8.6,608
8.64,608
8.68,608
8.72,608
8.76,608
8.8,608
8.84,609
8.88,609
8.92,609
8.96,609
9.0,609
9.04,609
9.08,609
9.12,609
9.16,609
9.2,610
9.24,610
9.28,609
9.32,609
9.36,609
9.4,609
9.44,609
9.48,609
9.52,609
9.56,609
9.6,610
9.64,610
9.68,610
9.72,610
9.76,609
9.8,608
9.84,608
9.88,608
9.92,607
9.96,607
10.0,606
10.04,607
10.08,605
10.12,605
10.16,605
10.2,604
10.24,605
10.28,605
10.32,605
10.36,605
10.4,606
10.44,605
10.48,606
10.52,606
10.56,606
10.6,606
10.64,605
10.68,605
10.72,605
10.76,605
10.8,605
10.84,605
10.88,604
10.92,604
10.96,605
11.0,604
11.04,605
11.08,605
11.12,605
11.16,607
11.2,609
11.24,609
11.28,609
11.32,609
11.36,609
11.4,609
11.44,609
11.48,610
11.52,610
11.56,610
11.6,610
11.64,610
11.68,610
11.72,610
11.76,610
11.8,610
11.84,609
11.88,609
11.92,608
11.96,608
12.0,608
12.04,608
12.08,608
12.12,608
12.16,608
12.2,608
12.24,607
12.28,607
12.32,607
12.36,607
12.4,607
12.44,607
12.48,607
12.52,607
12.56,607
12.6,608
12.64,608
12.68,609
12.72,610
12.76,610
12.8,611
12.84,611
12.88,612
12.92,612
12.96,611
13.0,610
13.04,609
13.08,608
13.12,609
13.16,610
13.2,609
13.24,608
13.28,609
13.32,608
13.36,607
13.4,606
13.44,606
13.48,606
13.52,605
13.56,607
13.6,607
13.64,608
13.68,608
13.72,608
13.76,608
13.8,608
13.84,608
13.88,608
13.92,607
13.96,605
14.0,606
14.04,605
14.08,606
14.12,607
14.16,610
14.2,613
14.24,617
14.28,619
14.32,620
14.36,621
14.4,621
14.44,621
14.48,622
14.52,621
14.56,619
14.6,617
14.64,615
14.68,613
14.72,612
14.76,614
14.8,612
14.84,610
14.88,610
14.92,609
14.96,608
15.0,608
15.04,608
15.08,609
15.12,607
15.16,607
15.2,607
15.24,607
15.28,606
15.32,606
15.36,607
15.4,608
15.44,608
15.48,607
15.52,607
15.56,608
15.6,608
15.64,608
15.68,609
15.72,609
15.76,609
15.8,607
15.84,607
15.88,607
15.92,606
15.96,605
16.0,605
16.04,606
16.08,605
16.12,605
16.16,605
16.2,605
16.24,604
16.28,604
16.32,604
16.36,604
16.4,604
16.44,604
16.48,604
16.52,605
16.56,605
16.6,606
16.64,606
16.68,607
16.72,607
16.76,607
16.8,606
16.84,606
16.88,606
16.92,606
16.96,606
17.0,605
17.04,606
17.08,605
17.12,606
17.16,606
17.2,606
17.24,605
17.28,605
17.32,605
17.36,604
17.4,605
17.44,605
17.48,605
17.52,604
17.56,604
17.6,605
17.64,605
17.68,606
17.72,606
17.76,608
17.8,608
17.84,609
17.88,609
17.92,610
17.96,610
18.0,610
18.04,609
18.08,608
18.12,608
18.16,608
18.2,608
18.24,608
18.28,609
18.32,609
18.36,609
18.4,610
18.44,611
18.48,610
18.52,610
18.56,610
18.6,609
18.64,608
18.68,608
18.72,609
18.76,608
18.8,610
18.84,609
18.88,609
18.92,608
18.96,608
19.0,609
19.04,608
19.08,605
19.12,602
19.16,602
19.2,601
19.24,600
19.28,600
19.32,600
19.36,597
19.4,598
19.44,598
19.48,599
19.52,598
19.56,596
19.6,595
19.64,595
19.68,595
19.72,595
19.76,597
19.8,599
19.84,600
19.88,599
19.92,598
19.96,597
20.0,599
20.04,599
20.08,600
20.12,599
20.16,600
20.2,600
20.24,600
20.28,601
20.32,601
20.36,601
20.4,602
20.44,602
20.48,602
20.52,602
20.56,603
20.6,604
20.64,603
20.68,604
20.72,604
20.76,605
20.8,605
20.84,605
20.88,605
20.92,604
20.96,604
21.0,602
21.04,602
21.08,603
21.12,603
21.16,604
21.2,602
21.24,602
21.28,602
21.32,602
21.36,601
21.4,601
21.44,601
21.48,602
21.52,603
21.56,604
21.6,604
21.64,604
21.68,604
21.72,604
21.76,604
21.8,604
21.84,604
21.88,604
21.92,603
21.96,603
22.0,603
22.04,603
22.08,603
22.12,603
22.16,603
22.2,603
