time,84_x
0.0,629
0.04,630
0.08,630
0.12,630
0.16,630
0.2,630
0.24,630
0.28,630
0.32,630
0.36,630
0.4,631
0.44,631
0.48,631
0.52,631
0.56,631
0.6,631
0.64,631
0.68,631
0.72,630
0.76,630
0.8,630
0.84,629
0.88,629
0.92,629
0.96,630
1.0,629
1.04,629
1.08,629
1.12,629
1.16,630
1.2,630
1.24,630
1.28,630
1.32,630
1.36,631
1.4,631
1.44,631
1.48,631
1.52,631
1.56,631
1.6,631
1.64,631
1.68,631
1.72,631
1.76,631
1.8,631
1.84,630
1.88,630
1.92,630
1.96,630
2.0,630
2.04,630
2.08,630
2.12,630
2.16,630
2.2,630
2.24,630
2.28,630
2.32,630
2.36,630
2.4,631
2.44,631
2.48,631
2.52,631
2.56,631
2.6,631
2.64,631
2.68,631
2.72,631
2.76,631
2.8,631
2.84,631
2.88,631
2.92,631
2.96,631
3.0,631
3.04,631
3.08,631
3.12,631
3.16,631
3.2,631
3.24,630
3.28,630
3.32,630
3.36,629
3.4,629
3.44,629
3.48,631
3.52,631
3.56,630
3.6,630
3.64,630
3.68,629
3.72,630
3.76,629
3.8,628
3.84,629
3.88,628
3.92,628
3.96,629
4.0,628
4.04,629
4.08,629
4.12,629
4.16,629
4.2,629
4.24,630
4.28,631
4.32,631
4.36,631
4.4,631
4.44,631
4.48,631
4.52,631
4.56,631
4.6,631
4.64,631
4.68,631
4.72,631
4.76,631
4.8,631
4.84,631
4.88,631
4.92,631
4.96,630
5.0,630
5.04,630
5.08,630
5.12,630
5.16,629
5.2,629
5.24,629
5.28,629
5.32,629
5.36,629
5.4,629
5.44,629
5.48,629
5.52,629
5.56,630
5.6,629
5.64,629
5.68,629
5.72,629
5.76,629
5.8,629
5.84,629
5.88,629
5.92,628
5.96,628
6.0,627
6.04,628
6.08,628
6.12,629
6.16,629
6.2,629
6.24,628
6.28,628
6.32,626
6.36,626
6.4,626
6.44,625
6.48,624
6.52,623
6.56,623
6.6,623
6.64,623
6.68,623
6.72,623
6.76,623
6.8,623
6.84,624
6.88,624
6.92,624
6.96,624
7.0,624
7.04,625
7.08,625
7.12,626
7.16,626
7.2,627
7.24,627
7.28,627
7.32,628
7.36,628
7.4,628
7.44,629
7.48,629
7.52,629
7.56,629
7.6,629
7.64,629
7.68,629
7.72,629
7.76,629
7.8,629
7.84,629
7.88,628
7.92,628
7.96,628
8.0,628
8.04,627
8.08,627
8.12,627
8.16,627
8.2,627
8.24,626
8.28,626
8.32,626
8.36,626
8.4,626
8.44,626
8.48,626
8.52,626
8.56,626
8.6,626
8.64,626
8.68,626
8.72,626
8.76,627
8.8,627
8.84,627
8.88,627
8.92,627
8.96,627
9.0,627
9.04,627
9.08,627
9.12,627
9.16,627
9.2,627
9.24,627
9.28,627
9.32,626
9.36,627
9.4,627
9.44,626
9.48,627
9.52,626
9.56,626
9.6,626
9.64,626
9.68,626
9.72,626
9.76,626
9.8,626
9.84,626
9.88,626
9.92,626
9.96,625
10.0,625
10.04,624
10.08,623
10.12,623
10.16,623
10.2,623
10.24,623
10.28,624
10.32,624
10.36,624
10.4,624
10.44,624
10.48,624
10.52,624
10.56,624
10.6,625
10.64,624
10.68,624
10.72,624
10.76,624
10.8,625
10.84,625
10.88,625
10.92,625
10.96,625
11.0,625
11.04,625
11.08,625
11.12,625
11.16,626
11.2,627
11.24,627
11.28,627
11.32,627
11.36,627
11.4,627
11.44,628
11.48,629
11.52,629
11.56,628
11.6,629
11.64,629
11.68,628
11.72,628
11.76,628
11.8,628
11.84,628
11.88,627
11.92,627
11.96,626
12.0,626
12.04,626
12.08,626
12.12,626
12.16,626
12.2,626
12.24,625
12.28,625
12.32,625
12.36,625
12.4,625
12.44,625
12.48,625
12.52,626
12.56,626
12.6,626
12.64,627
12.68,627
12.72,628
12.76,628
12.8,629
12.84,629
12.88,630
12.92,630
12.96,628
13.0,627
13.04,625
13.08,624
13.12,623
13.16,622
13.2,622
13.24,621
13.28,621
13.32,620
13.36,619
13.4,619
13.44,618
13.48,618
13.52,618
13.56,619
13.6,619
13.64,620
13.68,620
13.72,620
13.76,620
13.8,620
13.84,620
13.88,620
13.92,618
13.96,618
14.0,619
14.04,621
14.08,622
14.12,625
14.16,627
14.2,629
14.24,631
14.28,633
14.32,635
14.36,635
14.4,636
14.44,637
14.48,637
14.52,637
14.56,636
14.6,634
14.64,632
14.68,631
14.72,629
14.76,630
14.8,630
14.84,628
14.88,628
14.92,629
14.96,627
15.0,626
15.04,625
15.08,626
15.12,624
15.16,625
15.2,625
15.24,625
15.28,625
15.32,624
15.36,624
15.4,625
15.44,624
15.48,624
15.52,624
15.56,624
15.6,625
15.64,624
15.68,624
15.72,624
15.76,625
15.8,624
15.84,626
15.88,626
15.92,626
15.96,626
16.0,626
16.04,626
16.08,625
16.12,625
16.16,625
16.2,624
16.24,624
16.28,624
16.32,624
16.36,624
16.4,624
16.44,624
16.48,624
16.52,624
16.56,624
16.6,625
16.64,625
16.68,625
16.72,625
16.76,626
16.8,625
16.84,625
16.88,625
16.92,624
16.96,624
17.0,624
17.04,624
17.08,624
17.12,624
17.16,624
17.2,624
17.24,624
17.28,623
17.32,623
17.36,623
17.4,623
17.44,623
17.48,623
17.52,623
17.56,623
17.6,624
17.64,624
17.68,624
17.72,624
17.76,624
17.8,625
17.84,626
17.88,627
17.92,628
17.96,630
18.0,630
18.04,629
18.08,628
18.12,628
18.16,628
18.2,627
18.24,628
18.28,629
18.32,628
18.36,629
18.4,629
18.44,629
18.48,629
18.52,627
18.56,626
18.6,626
18.64,626
18.68,626
18.72,625
18.76,625
18.8,624
18.84,623
18.88,622
18.92,621
18.96,621
19.0,622
19.04,622
19.08,619
19.12,618
19.16,618
19.2,618
19.24,617
19.28,617
19.32,618
19.36,617
19.4,617
19.44,617
19.48,616
19.52,615
19.56,613
19.6,612
19.64,610
19.68,611
19.72,612
19.76,614
19.8,615
19.84,615
19.88,614
19.92,614
19.96,613
20.0,614
20.04,613
20.08,613
20.12,614
20.16,614
20.2,615
20.24,615
20.28,616
20.32,616
20.36,618
20.4,619
20.44,619
20.48,620
20.52,620
20.56,620
20.6,621
20.64,620
20.68,621
20.72,620
20.76,620
20.8,619
20.84,619
20.88,619
20.92,620
20.96,621
21.0,620
21.04,621
21.08,621
21.12,621
21.16,622
21.2,621
21.24,621
21.28,621
21.32,621
21.36,621
21.4,621
21.44,621
21.48,621
21.52,622
21.56,622
21.6,623
21.64,623
21.68,623
21.72,623
21.76,622
21.8,622
21.84,622
21.88,622
21.92,622
21.96,622
22.0,622
22.04,622
22.08,621
22.12,621
22.16,621
22.2,621
22.24,621
22.28,622
22.32,622
22.36,622
22.4,621
22.44,621
22.48,621
22.52,621
22.56,623
22.6,625
22.64,629
22.68,632
22.72,634
22.76,635
22.8,634
22.84,632
22.88,631
22.92,629
22.96,627
23.0,625
23.04,622
23.08,620
23.12,620
23.16,619
23.2,621
23.24,620
23.28,618
23.32,617
23.36,618
23.4,616
23.44,616
23.48,617
23.52,618
23.56,620
23.6,621
23.64,624
23.68,625
23.72,626
23.76,625
23.8,626
23.84,625
23.88,623
23.92,623
23.96,621
24.0,618
24.04,619
24.08,618
24.12,617
24.16,617
24.2,618
24.24,618
24.28,618
24.32,617
24.36,617
24.4,618
24.44,618
24.48,620
24.52,622
24.56,624
24.6,626
24.64,626
24.68,625
24.72,625
24.76,623
24.8,624
24.84,624
24.88,622
24.92,623
24.96,624
25.0,625
25.04,625
25.08,624
25.12,622
25.16,623
25.2,622
25.24,622
25.28,622
25.32,622
25.36,621
25.4,621
25.44,621
25.48,620
25.52,620
25.56,620
25.6,620
25.64,618
25.68,619
25.72,618
25.76,618
25.8,618
25.84,618
25.88,619
25.92,619
25.96,620
26.0,620
26.04,621
26.08,621
26.12,620
26.16,620
26.2,620
26.24,620
26.28,621
26.32,621
26.36,620
26.4,621
26.44,621
26.48,621
26.52,620
26.56,619
26.6,618
26.64,617
26.68,617
26.72,614
26.76,611
26.8,610
26.84,610
26.88,612
26.92,613
26.96,614
27.0,614
27.04,615
27.08,616
27.12,616
27.16,619
27.2,619
27.24,619
27.28,618
27.32,618
27.36,619
27.4,619
27.44,619
27.48,618
27.52,618
27.56,618
27.6,618
27.64,616
27.68,617
27.72,617
27.76,616
27.8,615
27.84,615
27.88,615
27.92,615
27.96,615
28.0,616
28.04,616
28.08,616
28.12,616
28.16,616
28.2,616
28.24,616
28.28,617
28.32,617
28.36,617
28.4,618
28.44,618
28.48,619
28.52,619
28.56,619
28.6,620
28.64,620
28.68,620
28.72,620
28.76,621
28.8,621
28.84,621
28.88,621
28.92,622
28.96,622
29.0,623
29.04,623
29.08,623
29.12,623
29.16,624
29.2,624
29.24,623
29.28,623
29.32,623
29.36,622
29.4,621
29.44,619
29.48,619
29.52,619
29.56,620
29.6,620
29.64,620
29.68,620
29.72,620
29.76,619
29.8,618
29.84,618
29.88,617
29.92,615
29.96,615
30.0,614
30.04,614
30.08,614
30.12,613
30.16,611
30.2,609
30.24,605
30.28,602
30.32,601
30.36,601
30.4,603
30.44,609
30.48,612
30.52,614
30.56,616
30.6,618
30.64,620
30.68,624
30.72,626
30.76,627
30.8,624
30.84,621
30.88,618
30.92,614
30.96,612
31.0,612
31.04,610
31.08,611
31.12,611
31.16,611
31.2,612
31.24,611
31.28,610
31.32,609
31.36,610
31.4,609
31.44,611
31.48,612
31.52,612
31.56,612
31.6,611
31.64,611
31.68,610
31.72,608
31.76,606
31.8,606
31.84,608
31.88,610
31.92,611
