time,415_x
0.0,659
0.04,660
0.08,661
0.12,661
0.16,661
0.2,661
0.24,661
0.28,661
0.32,662
0.36,662
0.4,662
0.44,662
0.48,662
0.52,662
0.56,662
0.6,662
0.64,662
0.68,662
0.72,661
0.76,661
0.8,661
0.84,661
0.88,661
0.92,661
0.96,661
1.0,660
1.04,660
1.08,660
1.12,661
1.16,661
1.2,661
1.24,661
1.28,662
1.32,661
1.36,662
1.4,662
1.44,662
1.48,662
1.52,662
1.56,662
1.6,662
1.64,662
1.68,662
1.72,662
1.76,662
1.8,662
1.84,662
1.88,661
1.92,661
1.96,661
2.0,661
2.04,661
2.08,661
2.12,661
2.16,661
2.2,661
2.24,661
2.28,661
2.32,661
2.36,661
2.4,662
2.44,662
2.48,662
2.52,662
2.56,662
2.6,661
2.64,661
2.68,661
2.72,661
2.76,662
2.8,662
2.84,662
2.88,662
2.92,662
2.96,662
3.0,662
3.04,661
3.08,661
3.12,661
3.16,661
3.2,661
3.24,661
3.28,661
3.32,659
3.36,659
3.4,659
3.44,660
3.48,662
3.52,662
3.56,661
3.6,661
3.64,660
3.68,660
3.72,661
3.76,659
3.8,658
3.84,659
3.88,659
3.92,659
3.96,659
4.0,659
4.04,659
4.08,659
4.12,659
4.16,659
4.2,659
4.24,660
4.28,661
4.32,661
4.36,661
4.4,661
4.44,661
4.48,661
4.52,661
4.56,661
4.6,661
4.64,661
4.68,661
4.72,661
4.76,661
4.8,661
4.84,661
4.88,661
4.92,661
4.96,661
5.0,660
5.04,660
5.08,660
5.12,659
5.16,659
5.2,659
5.24,659
5.28,659
5.32,659
5.36,659
5.4,659
5.44,659
5.48,659
5.52,659
5.56,660
5.6,659
5.64,659
5.68,659
5.72,659
5.76,659
5.8,659
5.84,659
5.88,659
5.92,658
5.96,657
6.0,657
6.04,656
6.08,656
6.12,657
6.16,656
6.2,658
6.24,658
6.28,658
6.32,655
6.36,655
6.4,656
6.44,657
6.48,656
6.52,655
6.56,654
6.6,654
6.64,654
6.68,655
6.72,655
6.76,655
6.8,655
6.84,655
6.88,655
6.92,655
6.96,656
7.0,655
7.04,656
7.08,656
7.12,656
7.16,657
7.2,657
7.24,657
7.28,657
7.32,658
7.36,658
7.4,659
7.44,659
7.48,659
7.52,659
7.56,660
7.6,660
7.64,660
7.68,660
7.72,660
7.76,659
7.8,659
7.84,659
7.88,659
7.92,659
7.96,659
8.0,659
8.04,659
8.08,657
8.12,657
8.16,658
8.2,657
8.24,657
8.28,657
8.32,656
8.36,657
8.4,657
8.44,657
8.48,657
8.52,657
8.56,657
8.6,657
8.64,657
8.68,657
8.72,657
8.76,657
8.8,657
8.84,657
8.88,657
8.92,657
8.96,658
9.0,658
9.04,658
9.08,658
9.12,658
9.16,658
9.2,658
9.24,658
9.28,658
9.32,658
9.36,658
9.4,658
9.44,657
9.48,657
9.52,657
9.56,656
9.6,655
9.64,655
9.68,655
9.72,656
9.76,656
9.8,658
9.84,658
9.88,658
9.92,658
9.96,657
10.0,656
10.04,655
10.08,655
10.12,655
10.16,656
10.2,656
10.24,656
10.28,656
10.32,656
10.36,657
10.4,656
10.44,656
10.48,656
10.52,656
10.56,656
10.6,657
10.64,657
10.68,656
10.72,657
10.76,657
10.8,658
10.84,658
10.88,658
10.92,658
10.96,658
11.0,659
11.04,659
11.08,659
11.12,658
11.16,658
11.2,658
11.24,658
11.28,658
11.32,658
11.36,658
11.4,658
11.44,659
11.48,659
11.52,660
11.56,659
11.6,660
11.64,660
11.68,660
11.72,659
11.76,659
11.8,659
11.84,659
11.88,659
11.92,658
11.96,658
12.0,658
12.04,657
12.08,657
12.12,657
12.16,657
12.2,657
12.24,657
12.28,657
12.32,657
12.36,657
12.4,657
12.44,657
12.48,657
12.52,657
12.56,658
12.6,658
12.64,658
12.68,659
12.72,660
12.76,660
12.8,661
12.84,661
12.88,661
12.92,661
12.96,659
13.0,658
13.04,655
13.08,653
13.12,651
13.16,650
13.2,650
13.24,648
13.28,648
13.32,647
13.36,647
13.4,646
13.44,646
13.48,645
13.52,645
13.56,646
13.6,646
13.64,647
13.68,647
13.72,647
13.76,647
13.8,647
13.84,647
13.88,647
13.92,646
13.96,647
14.0,651
14.04,654
14.08,655
14.12,658
14.16,660
14.2,660
14.24,659
14.28,661
14.32,662
14.36,662
14.4,663
14.44,664
14.48,664
14.52,664
14.56,664
14.6,663
14.64,663
14.68,662
14.72,660
14.76,660
14.8,661
14.84,660
14.88,658
14.92,661
14.96,660
15.0,658
15.04,656
15.08,656
15.12,657
15.16,657
15.2,657
15.24,657
15.28,658
15.32,657
15.36,655
15.4,655
15.44,654
15.48,655
15.52,655
15.56,655
15.6,654
15.64,653
15.68,653
15.72,654
15.76,655
15.8,656
15.84,658
15.88,659
15.92,659
15.96,659
16.0,660
16.04,660
16.08,659
16.12,659
16.16,658
16.2,658
16.24,658
16.28,657
16.32,658
16.36,658
16.4,658
16.44,658
16.48,658
16.52,657
16.56,657
16.6,657
16.64,657
16.68,657
16.72,657
16.76,657
16.8,657
16.84,657
16.88,657
16.92,656
16.96,657
17.0,656
17.04,657
17.08,657
17.12,656
17.16,656
17.2,656
17.24,656
17.28,656
17.32,655
17.36,655
17.4,655
17.44,656
17.48,656
17.52,656
17.56,656
17.6,656
17.64,657
17.68,656
17.72,656
17.76,654
17.8,655
17.84,657
17.88,658
17.92,660
17.96,662
18.0,663
18.04,662
18.08,661
18.12,660
18.16,660
18.2,659
18.24,660
18.28,661
18.32,660
18.36,661
18.4,661
18.44,660
18.48,660
18.52,657
18.56,657
18.6,657
18.64,658
18.68,657
18.72,656
18.76,654
18.8,652
18.84,651
18.88,650
18.92,648
18.96,648
19.0,649
19.04,650
19.08,649
19.12,649
19.16,649
19.2,651
19.24,650
19.28,650
19.32,650
19.36,652
19.4,651
19.44,651
19.48,649
19.52,649
19.56,646
19.6,646
19.64,644
19.68,647
19.72,648
19.76,649
19.8,648
19.84,647
19.88,647
19.92,647
19.96,645
20.0,644
20.04,644
20.08,645
20.12,646
20.16,647
20.2,647
20.24,647
20.28,648
20.32,649
20.36,650
20.4,653
20.44,653
20.48,653
20.52,653
20.56,654
20.6,654
20.64,653
20.68,652
20.72,651
20.76,650
20.8,649
20.84,649
20.88,649
20.92,651
20.96,653
21.0,653
21.04,654
21.08,653
21.12,653
21.16,654
21.2,654
21.24,655
21.28,655
21.32,655
21.36,655
21.4,655
21.44,655
21.48,655
21.52,655
21.56,656
21.6,656
21.64,656
21.68,656
21.72,656
21.76,656
21.8,655
21.84,655
21.88,655
21.92,655
21.96,655
22.0,655
22.04,655
22.08,655
22.12,654
22.16,654
22.2,654
22.24,654
22.28,654
22.32,654
22.36,654
22.4,654
22.44,654
22.48,653
22.52,654
22.56,655
22.6,657
22.64,659
22.68,661
22.72,662
22.76,662
22.8,661
22.84,659
22.88,658
22.92,656
22.96,654
23.0,654
23.04,653
23.08,652
23.12,652
23.16,653
23.2,654
23.24,654
23.28,653
23.32,652
23.36,651
23.4,648
23.44,648
23.48,647
23.52,648
23.56,649
23.6,653
23.64,655
23.68,656
23.72,657
23.76,657
23.8,657
23.84,657
23.88,655
23.92,654
23.96,652
24.0,651
24.04,652
24.08,652
24.12,651
24.16,650
24.2,651
24.24,653
24.28,653
24.32,652
24.36,652
24.4,654
24.44,655
24.48,656
24.52,657
24.56,659
24.6,659
24.64,659
24.68,658
24.72,658
24.76,656
24.8,659
24.84,657
24.88,656
24.92,656
24.96,656
25.0,657
25.04,656
25.08,655
25.12,653
25.16,653
25.2,653
25.24,655
25.28,655
25.32,654
25.36,655
25.4,655
25.44,655
25.48,654
25.52,653
25.56,654
25.6,653
25.64,651
25.68,649
25.72,649
25.76,649
25.8,648
25.84,648
25.88,649
25.92,649
25.96,651
26.0,652
26.04,653
26.08,653
26.12,652
26.16,652
26.2,653
26.24,652
26.28,652
26.32,651
26.36,650
26.4,651
26.44,651
26.48,650
26.52,649
26.56,649
26.6,649
26.64,649
26.68,649
26.72,647
26.76,644
26.8,643
26.84,644
26.88,646
26.92,647
26.96,648
27.0,648
27.04,648
27.08,650
27.12,650
27.16,652
27.2,652
27.24,651
27.28,650
27.32,650
27.36,649
27.4,650
27.44,650
27.48,652
27.52,652
27.56,653
27.6,653
27.64,651
27.68,651
27.72,651
27.76,650
27.8,650
27.84,650
27.88,650
27.92,650
27.96,650
28.0,650
28.04,650
28.08,650
28.12,650
28.16,651
28.2,651
28.24,651
28.28,651
28.32,652
28.36,652
28.4,652
28.44,652
28.48,653
28.52,653
28.56,653
28.6,654
28.64,654
28.68,655
28.72,655
28.76,655
28.8,655
28.84,654
28.88,654
28.92,654
28.96,655
29.0,656
29.04,656
29.08,657
29.12,657
29.16,657
29.2,657
29.24,658
29.28,658
29.32,658
29.36,658
29.4,656
29.44,655
29.48,655
29.52,654
29.56,655
29.6,654
29.64,654
29.68,654
29.72,655
29.76,654
29.8,654
29.84,653
29.88,652
29.92,651
29.96,650
30.0,650
30.04,649
30.08,648
30.12,646
30.16,645
30.2,646
30.24,643
30.28,640
30.32,638
30.36,638
30.4,643
30.44,648
30.48,651
30.52,653
30.56,653
30.6,654
30.64,654
30.68,657
30.72,660
30.76,661
30.8,658
30.84,653
30.88,649
30.92,647
30.96,645
31.0,645
31.04,644
31.08,644
31.12,644
31.16,644
31.2,644
31.24,645
31.28,646
31.32,647
31.36,646
31.4,645
31.44,644
31.48,644
31.52,644
31.56,644
31.6,642
31.64,641
31.68,640
31.72,640
31.76,640
31.8,641
31.84,644
31.88,646
31.92,647
31.96,647
32.0,646
32.04,647
32.08,647
32.12,647
32.16,647
32.2,644
32.24,643
32.28,643
32.32,642
32.36,642
32.4,641
32.44,642
32.48,642
32.52,641
32.56,642
32.6,643
32.64,646
32.68,648
32.72,648
32.76,648
32.8,649
32.84,650
32.88,650
32.92,650
32.96,650
33.0,650
33.04,650
33.08,650
33.12,650
33.16,650
33.2,650
33.24,649
33.28,649
33.32,649
33.36,648
33.4,648
33.44,648
33.48,649
33.52,649
33.56,649
33.6,649
33.64,649
33.68,649
33.72,649
33.76,649
33.8,649
33.84,649
33.88,649
33.92,649
33.96,649
34.0,649
34.04,649
34.08,649
34.12,649
