time,409_x
0.0,665
0.04,667
0.08,667
0.12,667
0.16,667
0.2,667
0.24,667
0.28,667
0.32,668
0.36,668
0.4,668
0.44,668
0.48,668
0.52,668
0.56,668
0.6,668
0.64,669
0.68,669
0.72,668
0.76,667
0.8,667
0.84,667
0.88,667
0.92,667
0.96,667
1.0,667
1.04,667
1.08,667
1.12,667
1.16,667
1.2,667
1.24,667
1.28,668
1.32,668
1.36,668
1.4,668
1.44,668
1.48,668
1.52,668
1.56,668
1.6,668
1.64,668
1.68,668
1.72,668
1.76,668
1.8,668
1.84,668
1.88,668
1.92,667
1.96,667
2.0,667
2.04,667
2.08,667
2.12,667
2.16,667
2.2,667
2.24,667
2.28,667
2.32,667
2.36,668
2.4,668
2.44,668
2.48,668
2.52,668
2.56,668
2.6,668
2.64,668
2.68,667
2.72,668
2.76,668
2.8,668
2.84,668
2.88,668
2.92,668
2.96,668
3.0,668
3.04,668
3.08,668
3.12,667
3.16,667
3.2,667
3.24,667
3.28,667
3.32,666
3.36,666
3.4,666
3.44,666
3.48,669
3.52,668
3.56,667
3.6,667
3.64,667
3.68,667
3.72,667
3.76,665
3.8,665
3.84,665
3.88,665
3.92,665
3.96,665
4.0,665
4.04,666
4.08,666
4.12,666
4.16,666
4.2,665
4.24,666
4.28,667
4.32,667
4.36,667
4.4,667
4.44,667
4.48,667
4.52,667
4.56,667
4.6,667
4.64,667
4.68,667
4.72,667
4.76,667
4.8,667
4.84,667
4.88,667
4.92,667
4.96,667
5.0,666
5.04,666
5.08,666
5.12,666
5.16,665
5.2,665
5.24,665
5.28,665
5.32,665
5.36,665
5.4,665
5.44,666
5.48,666
5.52,666
5.56,666
5.6,665
5.64,665
5.68,665
5.72,665
5.76,665
5.8,665
5.84,665
5.88,665
5.92,664
5.96,663
6.0,664
6.04,663
6.08,663
6.12,664
6.16,663
6.2,665
6.24,664
6.28,664
6.32,662
6.36,662
6.4,663
6.44,663
6.48,663
6.52,662
6.56,661
6.6,661
6.64,661
6.68,662
6.72,662
6.76,662
6.8,662
6.84,662
6.88,662
6.92,662
6.96,662
7.0,662
7.04,662
7.08,663
7.12,663
7.16,663
7.2,663
7.24,664
7.28,664
7.32,664
7.36,665
7.4,665
7.44,665
7.48,665
7.52,666
7.56,666
7.6,666
7.64,666
7.68,666
7.72,666
7.76,666
7.8,666
7.84,666
7.88,665
7.92,665
7.96,665
8.0,665
8.04,665
8.08,664
8.12,664
8.16,664
8.2,663
8.24,663
8.28,663
8.32,663
8.36,663
8.4,663
8.44,663
8.48,663
8.52,663
8.56,663
8.6,663
8.64,663
8.68,663
8.72,664
8.76,664
8.8,664
8.84,664
8.88,664
8.92,664
8.96,664
9.0,664
9.04,664
9.08,664
9.12,665
9.16,664
9.2,665
9.24,665
9.28,666
9.32,665
9.36,665
9.4,665
9.44,664
9.48,664
9.52,664
9.56,663
9.6,662
9.64,662
9.68,663
9.72,663
9.76,664
9.8,665
9.84,665
9.88,665
9.92,664
9.96,664
10.0,663
10.04,662
10.08,662
10.12,662
10.16,663
10.2,663
10.24,663
10.28,663
10.32,663
10.36,663
10.4,663
10.44,663
10.48,663
10.52,663
10.56,662
10.6,663
10.64,663
10.68,663
10.72,663
10.76,663
10.8,664
10.84,664
10.88,664
10.92,664
10.96,665
11.0,665
11.04,665
11.08,665
11.12,664
11.16,664
11.2,664
11.24,664
11.28,664
11.32,664
11.36,664
11.4,664
11.44,665
11.48,666
11.52,666
11.56,665
11.6,666
11.64,666
11.68,666
11.72,666
11.76,665
11.8,665
11.84,665
11.88,665
11.92,665
11.96,664
12.0,664
12.04,664
12.08,664
12.12,663
12.16,663
12.2,663
12.24,663
12.28,663
12.32,663
12.36,663
12.4,663
12.44,663
12.48,663
12.52,664
12.56,664
12.6,664
12.64,665
12.68,665
12.72,666
12.76,667
12.8,667
12.84,668
12.88,668
12.92,667
12.96,666
13.0,664
13.04,662
13.08,660
13.12,658
13.16,657
13.2,657
13.24,656
13.28,655
13.32,654
13.36,654
13.4,653
13.44,652
13.48,652
13.52,652
13.56,653
13.6,653
13.64,654
13.68,653
13.72,654
13.76,654
13.8,654
13.84,654
13.88,654
13.92,653
13.96,654
14.0,658
14.04,662
