iter	RMSE
0	99.84236955
1	97.86425255
2	96.00337882
3	94.09971739
4	92.3529627
5	90.54649095
6	88.81873353
7	86.9306862
8	85.09690929
9	83.41381979
10	81.85435305
11	80.30306696
12	78.58961906
13	77.16676663
14	75.67559632
15	74.46764871
16	73.08442626
17	71.614607
18	70.20847122
19	68.8713326
20	67.57308635
21	66.42455414
22	65.33980323
23	64.16133773
24	62.98874655
25	61.88923906
26	60.77853795
27	59.86128375
28	58.78857247
29	57.77155413
30	56.71159007
31	55.79389511
32	54.85236963
33	53.92468385
34	52.97732727
35	52.05446457
36	51.14827666
37	50.28729479
38	49.55527688
39	48.75361573
40	47.92987267
41	47.17767477
42	46.36925886
43	45.63733925
44	44.89702228
45	44.20320455
46	43.44527049
47	42.75229704
48	42.08613403
49	41.48711524
50	40.90218417
51	40.24083112
52	39.62778397
53	39.07737403
54	38.57986817
55	38.00177364
56	37.40279814
57	36.87965745
58	36.3788039
59	35.87302203
60	35.42278003
61	34.95970139
62	34.53505103
63	34.12959311
64	33.63291666
65	33.19207386
66	32.73860721
67	32.28027018
68	31.87913056
69	31.54662902
70	31.19799193
71	30.80136031
72	30.47137078
73	30.13709059
74	29.76441986
75	29.35809784
76	29.03320632
77	28.68425806
78	28.34448365
79	28.02209666
80	27.73085622
81	27.44189302
82	27.13715877
83	26.84231851
84	26.58872741
85	26.29192472
86	25.9969495
87	25.7476781
88	25.52412138
89	25.26595741
90	24.98491847
91	24.77997525
92	24.52398367
93	24.28725455
94	24.05476655
95	23.89356929
96	23.67586413
97	23.45210852
98	23.28422531
99	23.09140436
100	22.89492545
101	22.70349743
102	22.50083238
103	22.33560366
104	22.12965814
105	21.94210227
106	21.79611404
107	21.58842854
108	21.43370701
109	21.23092431
110	21.03442712
111	20.84979248
112	20.69607006
113	20.52352839
114	20.39185779
115	20.28844684
116	20.1244407
117	20.01266074
118	19.88516689
119	19.7362001
120	19.59427602
121	19.44099637
122	19.30008923
123	19.14918036
124	19.01478632
125	18.88434014
126	18.78657682
127	18.65466881
128	18.52632808
129	18.3877009
130	18.27101171
131	18.16140106
132	18.01330983
133	17.89713375
134	17.78793186
135	17.6951226
136	17.57558401
137	17.48381446
138	17.37674873
139	17.28153903
140	17.19289079
141	17.10772635
142	16.99823127
143	16.92131261
144	16.83196859
145	16.74677123
146	16.65942536
147	16.55934706
148	16.46551219
149	16.36358146
150	16.29774925
151	16.22206243
152	16.11206938
153	16.00921855
154	15.92974519
155	15.82017441
156	15.72952838
157	15.65256378
158	15.60244794
159	15.51808927
160	15.44743767
161	15.36756568
162	15.29866003
163	15.2421626
164	15.1816338
165	15.11898059
166	15.05635329
167	14.9989491
168	14.93252993
169	14.84731462
170	14.77226623
171	14.72639013
172	14.67449191
173	14.57381844
174	14.51960443
175	14.44182257
176	14.37183724
177	14.2981384
178	14.21484459
179	14.13157975
180	14.04119582
181	13.95834961
182	13.9014806
183	13.84779981
184	13.8058088
185	13.75640747
186	13.70086202
187	13.62033339
188	13.5566313
189	13.51380964
190	13.46231074
191	13.37192299
192	13.32058449
193	13.27409342
194	13.22044025
195	13.16016344
196	13.09260041
197	13.03575838
198	12.96221005
199	12.9000912
200	12.83754216
201	12.79731309
202	12.71496246
203	12.68694213
204	12.62508416
205	12.56882893
206	12.5435668
207	12.50600525
208	12.44373294
209	12.39048127
210	12.3490257
211	12.27944669
212	12.21890446
213	12.16973364
214	12.11546419
215	12.05128918
216	11.99287612
217	11.95670964
218	11.93021475
219	11.8644949
220	11.83517419
221	11.78481455
222	11.72060108
223	11.65381782
224	11.61331856
225	11.57278301
226	11.54993403
227	11.52189796
228	11.48304524
229	11.42410577
230	11.39362577
231	11.33773719
232	11.31024684
233	11.22779941
234	11.20119537
235	11.17492042
236	11.12328004
237	11.0772021
238	11.05557312
239	11.00021252
240	10.97862668
241	10.93352289
242	10.88954697
243	10.83146766
244	10.80144309
245	10.76818394
246	10.74250683
247	10.71779955
248	10.69196767
249	10.6548469
250	10.62362424
251	10.5630703
252	10.54025309
253	10.4914629
254	10.46647609
255	10.44704617
256	10.38709326
257	10.36808788
258	10.35148805
259	10.33291619
260	10.27227818
261	10.25431983
262	10.21075689
263	10.19209165
264	10.14843587
265	10.10158614
266	10.08280215
267	10.06547369
268	10.0491122
269	10.03400485
270	9.991472327
271	9.975963228
272	9.954642042
273	9.911240722
274	9.850441753
275	9.80259088
276	9.742002342
277	9.6817001
278	9.666829148
279	9.605890295
280	9.58973538
281	9.550202044
282	9.535033316
283	9.524927214
284	9.463497246
285	9.418331929
286	9.400163317
287	9.366578493
288	9.3257276
289	9.308988257
290	9.295605594
291	9.285450297
292	9.239468688
